Ubicació;Edifici;Tipus de recurs;Descripció del recurs;Observacions;Accés per a minusvàlids;Aire condicionat;Capacitat exàmens;Capacitat;Capacitat docència;Connexió xarxa;Mobiliari;Porta secundària;Roseta xarxa núm.;Telèfon núm.;Televisor;Característiques específiques;;Valor característiques específiques;;Centre gestor;Superfície Centre Gestor;Metres;
;;;;;;;;;;;;;;;;;;;;Fac. Ciències;7,4;;
C5/227;C;Laboratoris docents;Laboratori Docent;;No;No;42;;78;;Bancs pupitres;; ;;;Ordinador;;PC;;Fac. Ciències;53,5;107;
;;;;;;;;;;;;;;;;Pissarra;;verda -pantalla;;;;;
;;;;;;;;;;;;;;;;;;;;Facultat de Biociències;53,5;;
C5/227 BIS;C;Laboratoris docents;Laboratoris Biociències I;;No;No;;;24;;Taules laboratori; ; ;;;Ordinador;; ;;Facultat de Biociències;69,3;77;
;;;;;;;;;;;;;;;;Pissarra;; ;;;;;
;;;;;;;;;;;;;;;;;;;;Fac. Ciències;7,7;;
C5/229;C;Laboratoris docents;Laboratoris Biociències I;;No;No;;;26;;Taules laboratori; ; ;;;Ordinador;; ;;Facultat de Biociències;70,2;78;
;;;;;;;;;;;;;;;;Pissarra;; ;;;;;
;;;;;;;;;;;;;;;;;;;;Fac. Ciències;7,8;;
C5/313;C;Laboratoris docents;Laboratori de docència;;No;No;;;30;; ; ; ;;;;;;;Dep. Química;128,0;128;
C5/317;C;Laboratoris docents;Laboratoris Biociències I;;No;No;;;21;;Taules laboratori; ; ;;;Ordinador;; ;;Facultat de Biociències;76,0;76;
;;;;;;;;;;;;;;;;Pissarra;; ;;;;;
C5/319;C;Laboratoris docents;Laboratori;Segona porta C5/323;No;No;;;10;;Taules laboratori; ; ;;;Ordinador;; ;;Facultat de Biociències;28,0;28;
;;;;;;;;;;;;;;;;Pissarra;; ;;;;;
C5/321;C;Laboratoris docents;Laboratoris Biociències I;;No;No;;;20;;Taules laboratori; ; ;;;Ordinador;; ;;Facultat de Biociències;76,0;76;
;;;;;;;;;;;;;;;;Pissarra;; ;;;;;
C5/325;C;Laboratoris docents;Laboratoris Biociències I;;No;No;;;20;;Taules laboratori; ; ;;;Ordinador;; ;;Fac. Ciències;7,6;76;
;;;;;;;;;;;;;;;;Pissarra;; ;;;;;
;;;;;;;;;;;;;;;;;;;;Facultat de Biociències;68,4;;
C5/329;C;Laboratoris docents;Laboratoris Biociències I;;No;No;;;20;;Taules laboratori; ; ;;;Ordinador;; ;;Facultat de Biociències;68,4;76;
;;;;;;;;;;;;;;;;Pissarra;; ;;;;;
;;;;;;;;;;;;;;;;;;;;Fac. Ciències;7,6;;
C5/331;C;Laboratoris docents;Laboratori;Segona porta C5/327;No;No;;;10;;Taules laboratori; ; ;;;Ordinador;; ;;Facultat de Biociències;28,0;28;
;;;;;;;;;;;;;;;;Pissarra;; ;;;;;
C5/333;C;Laboratoris docents;Laboratori de Biociències I;;No;No;;;25;;Taules laboratori; ; ;;;Ordinador;; ;;Fac. Ciències;50,5;101;
;;;;;;;;;;;;;;;;Pissarra;; ;;;;;
;;;;;;;;;;;;;;;;;;;;Facultat de Biociències;50,5;;
C5/337;C;Laboratoris docents;Laboratori de Biociències I;;No;No;;;20;;Taules laboratori; ; ;;;Ordinador;; ;;Facultat de Biociències;51,35;79;
;;;;;;;;;;;;;;;;Pissarra;; ;;;;;
;;;;;;;;;;;;;;;;;;;;Dep. Gen.Microb.;19,75;;
;;;;;;;;;;;;;;;;;;;;Fac. Ciències;7,9;;
C5/337.3;C;Laboratoris docents;Laboratori de Biociències;;No;No;;;5;;Altres; ; ;;;Ordinador;;PC;;Fac. Ciències;1,5;15;
;;;;;;;;;;;;;;;;Pissarra;;verda -pantalla;;;;;
;;;;;;;;;;;;;;;;;;;;Facultat de Biociències;9,75;;
;;;;;;;;;;;;;;;;;;;;Dep. Gen.Microb.;3,75;;
C5/339;C;Laboratoris docents;Laboratoris Biociències I;;No;No;;;20;;Taules laboratori; ; ;;;Ordinador;; ;;Fac. Ciències;7,5;75;
;;;;;;;;;;;;;;;;Pissarra;; ;;;;;
;;;;;;;;;;;;;;;;;;;;Dep. Gen.Microb.;18,75;;
;;;;;;;;;;;;;;;;;;;;Facultat de Biociències;48,75;;
C5/339.1;C;Laboratoris docents;Laboratori;Segona porta C5/337.3;No;No;;;10;;Taules laboratori; ; ;;;Ordinador;; ;;Facultat de Biociències;25,0;25;
;;;;;;;;;;;;;;;;Pissarra;; ;;;;;
C5/341;C;Laboratoris docents;Laboratoris Biociències I;;No;No;;;40;;Taules laboratori; ; ;;;Ordinador;; ;;Facultat de Biociències;65,0;65;
;;;;;;;;;;;;;;;;Pissarra;; ;;;;;
C5/347;C;Laboratoris docents;Laboratoris Integrats;;No;No;;;20;;Taules laboratori; ; ;;;Ordinador;; ;;Facultat de Biociències;53,0;53;
;;;;;;;;;;;;;;;;Pissarra;; ;;;;;
C5/351;C;Laboratoris docents;Laboratoris Biociències I;;No;No;;;20;;Taules laboratori; ; ;;;Ordinador;; ;;Fac. Ciències;18,0;60;
;;;;;;;;;;;;;;;;Pissarra;; ;;;;;
;;;;;;;;;;;;;;;;;;;;Facultat de Biociències;42,0;;
C5/411;C;Laboratoris docents;Laboratori de docència;;No;No;;;30;;Taules laboratori; ; ;;;Ordinador;; ;;Dep. Química;64,0;128;
;;;;;;;;;;;;;;;;Pissarra;; ;;;;;
;;;;;;;;;;;;;;;;;;;;Fac. Ciències;64,0;;
C5/415;C;Laboratoris docents;Laboratori;;No;No;;;;;;;;;;;;;;Dep. Química;17,0;17;
C5/437;C;Laboratoris docents;Laboratori de docència;;No;No;;;30;;Taules laboratori; ; ;;;Ordinador;; ;;Dep. Química;64,0;128;
;;;;;;;;;;;;;;;;Pissarra;; ;;;;;
;;;;;;;;;;;;;;;;;;;;Fac. Ciències;64,0;;
C5/439;C;Laboratoris docents;Laboratori;;No;No;;;;;;;;;;;;;;Dep. Química;15,0;15;
C7/104;C;Laboratoris docents;Laboratori de docència;;Sí;No;;;1;;Taules laboratori;C7/108; ;;;Ordinador;; ;;Fac. Ciències;62,0;124;
;;;;;;;;;;;;;;;;Pissarra;; ;;;;;
;;;;;;;;;;;;;;;;;;;;Dep. Química;62,0;;
C7/124;C;Laboratoris docents;Instrumentació Pràctiques;;No;No;;;;;;;;;;;;;;Dep. Química;31,0;31;
C7/126;C;Laboratoris docents;Laboratori de docència;;No;No;;;30;;Taules laboratori;C7/122; ;;;Ordinador;; ;;Fac. Ciències;84,0;168;
;;;;;;;;;;;;;;;;Pissarra;; ;;;;;
;;;;;;;;;;;;;;;;;;;;Dep. Química;84,0;;
C7/226;C;Laboratoris docents;Instrumentació Pràctiques;;No;No;;;;;;;;;;;;;;Dep. Química;29,0;29;
C7/228;C;Laboratoris docents;Laboratori de docència;2a porta C7/224;No;No;;;1;;Taules laboratori; ; ;;;Ordinador;; ;;Dep. Química;85,0;170;
;;;;;;;;;;;;;;;;Pissarra;; ;;;;;
;;;;;;;;;;;;;;;;;;;;Fac. Ciències;85,0;;
C7/304;C;Laboratoris docents;Laboratori de docència;2a porta C7/308;No;No;;;1;;Taules laboratori; ; ;;;Ordinador;; ;;Dep. Química;64,0;128;
;;;;;;;;;;;;;;;;Pissarra;; ;;;;;
;;;;;;;;;;;;;;;;;;;;Fac. Ciències;64,0;;
C7/326;C;Laboratoris docents;Laboratori de docència;;No;No;;;1;;Taules laboratori;C7/322; ;;;Ordinador;; ;;Fac. Ciències;68,0;170;
;;;;;;;;;;;;;;;;Pissarra;; ;;;;;
;;;;;;;;;;;;;;;;;;;;Dep. Química;85,0;;
;;;;;;;;;;;;;;;;;;;;Facultat de Biociències;17,0;;
C7/406;C;Laboratoris docents;Laboratori de docència;;No;No;;;1;;Taules laboratori;c7/416; ;;;Ordinador;; ;;Dep. Química;128,0;128;
;;;;;;;;;;;;;;;;Pissarra;; ;;;;;
C7/434;C;Laboratoris docents;Laboratori de docència;;No;No;;;1;;Taules laboratori;c7/430; ;;;Ordinador;; ;;Facultat de Biociències;16,6;166;
;;;;;;;;;;;;;;;;Pissarra;; ;;;;;
;;;;;;;;;;;;;;;;;;;;Fac. Ciències;83,0;;
;;;;;;;;;;;;;;;;;;;;Dep. Química;66,4;;
C5/318;C;Sala d'ambient controlat;Sala Blanca;;No;;;;1;;;; ;;;;;;;Adm. Ciències i Biociències;171,0;171;
C5/318-1;C;Sala d'ambient controlat;Sala blanca;;No;;;;10;;;; ;;;;;;;Adm. Ciències i Biociències;171,0;171;
C5/320;C;Sala d'ambient controlat;Sala de Màquines;;Sí;;;;1;;;; ;;;;;;;Adm. Ciències i Biociències;80,0;80;
C5/322;C;Sala d'ambient controlat;Sala de Gases;;No;;;;1;;;; ;;;;;;;Adm. Ciències i Biociències;7,0;7;
C0/040;C;Sala de projeccions;Sala Microformes;;No;No;;;;;;;;;;;;;;Fac. Ciències;14,0;14;
C1 VESTÍBUL SALA GRAUS;C;Sala de projeccions;Vestíbul Sala de Graus;;Sí;No;1;;1;;Taules i cadires;; ;;;;;;;Fac. Ciències;199,5;399;
;;;;;;;;;;;;;;;;;;;;Facultat de Biociències;199,5;;
C1 VESTÍBUL SALA JUNTES;C;Sala de projeccions;Vestíbul Sala Juntes;;Sí;No;1;;1;;Taules i cadires;; ;;;;;;;Adm. Ciències i Biociències;399,0;399;
;;;;;;;;;;;;;;;;;;;;;;;
C2 VESTÍBUL;C;Sala de projeccions;C2 Vestíbul;;Sí;No;1;;1;;Taula i cadires;; ;;;;;;;Adm. Ciències i Biociències;2,0;2;
C7 VESTÍBUL;C;Sala de projeccions;C7 Vestíbul;;Sí;No;1;;1;;Taula i cadires;; ;;;;;;;Adm. Ciències i Biociències;2,0;2;
;;;;;;;;;;;;;;;;;;;;;;;
CB/014;C;Despatx;Despatx;;;;;;;;;; ;;;;;;;Dep. Matemàti.;25,0;25;
CB/102;C;Despatx;despatx;;;;;;;;;;;;;;;;;Adm. Ciències i Biociències;22,0;22;
CB/103;C;Despatx;despatx;;;;;;;;;;;;;;;;;Adm. Ciències i Biociències;14,0;14;
CB/110;C;Despatx;Consell Estudiants Ciències;;;;;;;;;;;;;;;;;Facultat de Biociències;9,5;19;
;;;;;;;;;;;;;;;;;;;;Fac. Ciències;9,5;;
CB/111;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Fac. Ciències;9,5;19;
;;;;;;;;;;;;;;;;;;;;Facultat de Biociències;9,5;;
CB/112;C;Despatx;despatx;;;;;;;;;;;;;;;;;Adm. Ciències i Biociències;10,0;10;
CB/114;C;Despatx;despatx;;;;;;;;;;;;;;;;;Adm. Ciències i Biociències;20,0;20;
CB/116;C;Despatx;Consell Estudiants Biociències;;;;;;;;;;;;;;;;;Adm. Ciències i Biociències;19,0;19;
CB/122;C;Despatx;despatx;;;;;;;;;;;;;;;;;Adm. Ciències i Biociències;27,0;27;
CB/123;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Fac. Ciències;6,5;13;
;;;;;;;;;;;;;;;;;;;;Facultat de Biociències;6,5;;
CB/124;C;Despatx;despatx;;;;;;;;;;;;;;;;;Adm. Ciències i Biociències;27,0;27;
CB/125;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Facultat de Biociències;7,0;14;
;;;;;;;;;;;;;;;;;;;;Fac. Ciències;7,0;;
CB/126;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Facultat de Biociències;13,5;27;
;;;;;;;;;;;;;;;;;;;;Fac. Ciències;13,5;;
CB/127;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Facultat de Biociències;8,0;16;
;;;;;;;;;;;;;;;;;;;;Fac. Ciències;8,0;;
C0/020;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Fac. Ciències;13,0;13;
C0/024;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Fac. Ciències;15,0;15;
C0/039;C;Despatx;Despatx de Gestió i Qualitat;;;;;10;;;;; ;;;;;;;Adm. Ciències i Biociències;22,0;22;
;;;;;;;;;;;;;;;;;;;;;;;
C1/016;C;Despatx;Despatx de direcció;;;;;;;;;;;;;;;;;Dep. Matemàti.;34,0;34;
C1/027;C;Despatx;Despatx Consell d`Estudiants;;;;;;;;;;;;;;;;;Fac. Ciències;25,0;25;
C1/032;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;35,0;35;
C1/034-1;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;18,0;18;
C1/034-2;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;23,0;23;
C1/034-3;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;23,0;23;
C1/034-4;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;18,0;18;
C1/038;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;37,0;37;
C1/040;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;18,0;18;
C1/042;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;18,0;18;
C1/044;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;18,0;18;
C1/046;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;18,0;18;
C1/048;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;18,0;18;
C1/050;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;18,0;18;
C1/052;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;18,0;18;
C1/054;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;18,0;18;
C1/056;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;20,0;20;
C1/104;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;23,0;23;
C1/106;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;25,0;25;
C1/108;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;20,0;20;
C1/110;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;20,0;20;
C1/111;C;Despatx;Despatx;;;;;;;;;; ;;;;;;;Dep.Biol.A.V.Ec.;24,0;24;
C1/112;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;17,0;17;
C1/114;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;25,0;25;
C1/115;C;Despatx;Despatx becaris;;;;;;;;;; ;;;;;;;Dep.Biol.A.V.Ec.;23,0;23;
C1/116;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;15,0;15;
C1/117;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep.Biol.A.V.Ec.;14,0;14;
C1/117.1;C;Despatx;Despatx interior;;;;;;;;;;;;;;;;;Dep.Biol.A.V.Ec.;8,0;8;
C1/118;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;17,0;17;
C1/118B;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;21,0;21;
C1/119;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep.Biol.A.V.Ec.;23,0;23;
C1/119.1;C;Despatx;Despatx;2ª Porta c1/121.1;;;;;;;;; ;;;;;;;Dep.Biol.A.V.Ec.;16,0;16;
C1/120;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;23,0;23;
C1/121;C;Despatx;Despatx;Porta interior C1/121-1;;;;;;;;; ;;;;;;;Dep.Biol.A.V.Ec.;24,0;24;
C1/122;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;20,0;20;
C1/-124;C;Despatx;Despatx;;;;;;;;;; ;;;;;;;Dep. Matemàti.;35,0;35;
C1/124;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;24,0;24;
C1/125;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep.Biol.A.V.Ec.;12,0;12;
C1/126;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;20,0;20;
C1/128;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;24,0;24;
C1/129;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep.Biol.A.V.Ec.;24,0;24;
C1/-130;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;27,0;27;
C1/130;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;23,0;23;
C1/131;C;Despatx;Despatx;;;;;;;;;; ;;;;;;;Dep.Biol.A.V.Ec.;11,0;11;
C1/-132;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;14,0;14;
C1/133;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep.Biol.A.V.Ec.;23,0;23;
C1/135;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep.Biol.A.V.Ec.;23,0;23;
C1/137;C;Despatx;Despatx;2ª Porta c1/139-1;;;;;;;;;;;;;;;;Dep.Biol.A.V.Ec.;23,0;23;
C1/139;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep.Biol.A.V.Ec.;17,0;17;
C1/-142;C;Despatx;Despatx;;;;;;;;;;;;;;;;;CEHC;22,0;22;
C1/-146;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Fac. Ciències;14,0;14;
C1/147;C;Despatx;Despatx becaris;;;;;;;;;; ;;;;;;;Dep.Biol.A.V.Ec.;17,0;17;
C1/-148;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Fac. Ciències;17,0;17;
C1/149;C;Despatx;Despatx becaris;;;;;;;;;; ;;;;;;;Dep.Biol.A.V.Ec.;17,0;17;
C1/-150;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Fac. Ciències;21,0;21;
C1/-152;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;17,0;17;
C1/-154;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;14,0;14;
C1/-156;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;17,0;17;
C1/-158;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;14,0;14;
C1/-160;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;17,0;17;
C1/-162;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;42,0;42;
C1/-164;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;34,0;34;
C1/-166;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;28,0;28;
C1/-168-1;C;Despatx;Despatx;;;;;;;;;; ;;;;;;;Dep. Matemàti.;9,0;9;
C1/-168-2;C;Despatx;Despatx;;;;;;;;;; ;;;;;;;Dep. Matemàti.;9,0;9;
C1/-168-3;C;Despatx;Despatx;;;;;;;;;; ;;;;;;;Dep. Matemàti.;9,0;9;
C1/204;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;23,0;23;
C1/206;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;20,0;20;
C1/208;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;24,0;24;
C1/209;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep.Biol.A.V.Ec.;24,0;24;
C1/210;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;24,0;24;
C1/211;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep.Biol.A.V.Ec.;25,0;25;
C1/212;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;43,0;43;
C1/213;C;Despatx;Despatx;Porta interior C1/213-1;;;;;;;;;;;;;;;;Dep.Biol.A.V.Ec.;21,0;21;
C1/214;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;18,0;18;
C1/215;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep.Biol.A.V.Ec.;25,0;25;
C1/216;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;19,0;19;
C1/217;C;Despatx;Despatx;Porta Interior C1/217-1;;;;;;;;;;;;;;;;Dep.Biol.A.V.Ec.;21,0;21;
C1/218;C;Despatx;Despatx;;;;;;;;;; ;;;;;;;Dep. Matemàti.;23,0;23;
C1/219;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep.Biol.A.V.Ec.;24,0;24;
C1/222;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;17,0;17;
C1/224;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;16,0;16;
C1/238;C;Despatx;Consultoria Matematica;;;;;;;;;;;;;;;;;Dep. Matemàti.;17,0;17;
C1/249;C;Despatx;Sala multiús;;;;;;;;;; ;;;;;;;Dep.Biol.A.V.Ec.;24,0;24;
C1/304;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;23,0;23;
C1/306;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;20,0;20;
C1/308;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;24,0;24;
C1/310;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;24,0;24;
C1/312;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;16,0;16;
C1/314;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;24,0;24;
C1/318;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;18,0;18;
C1/319;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep.Biol.A.V.Ec.;57,0;57;
C1/320;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;19,0;19;
C1/321;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep.Biol.A.V.Ec.;11,0;11;
C1/322;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;15,0;15;
C1/323;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep.Biol.A.V.Ec.;9,0;9;
C1/324;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;18,0;18;
C1/326;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;17,0;17;
C1/328;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;17,0;17;
C1/330;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;12,0;12;
C1/331;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep.Biol.A.V.Ec.;24,0;24;
C1/332;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;10,0;10;
C1/333;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep.Biol.A.V.Ec.;22,0;22;
C1/334;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;12,0;12;
C1/336;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;12,0;12;
C1/337;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep.Biol.A.V.Ec.;19,0;19;
C1/339;C;Despatx;Despatx visitants;;;;;;;;;;;;;;;;;Dep.Biol.A.V.Ec.;16,0;16;
C1/341.1;C;Despatx;Despatx Fanerogàmia;;;;;;;;;; ;;;;;;;Dep.Biol.A.V.Ec.;20,0;20;
C1/345.1;C;Despatx;Despatx interior;;;;;;;;;; ;;;;;;;Dep.Biol.A.V.Ec.;15,0;15;
C1/346;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;14,0;14;
C1/348;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;14,0;14;
C1/350;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;15,0;15;
C1/352;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;15,0;15;
C1/354;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;15,0;15;
C1/356;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;23,0;23;
C1/358;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;16,0;16;
C1/360;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;16,0;16;
C1/362;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep. Matemàti.;16,0;16;
C1/364;C;Despatx;Despatx;;;;;;;;;; ;;;;;;;Dep. Matemàti.;16,0;16;
C1/366;C;Despatx;Seminari;;;;;;;;;; ;;;;;;;Fac. Ciències;14,0;28;
;;;;;;;;;;;;;;;;;;;;Dep. Matemàti.;14,0;;
C2/011;C;Despatx;Despatx;;;;;;;;;; ;;;;;;;Dep.Biologia Ce.,Fisiol i Immu;24,0;24;
C2/014;C;Despatx;Seminari;;;;;;;;;; ;;;;;;;Dep. Geologia;49,0;49;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
C2/015;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep.Biologia Ce.,Fisiol i Immu;12,0;12;
C2/017;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep.Biologia Ce.,Fisiol i Immu;12,0;12;
C2/018;C;Despatx;Despatx professorat;;;;;;;;;; ;;;;;;;Dep.Biologia Ce.,Fisiol i Immu;20,0;20;
C2/019;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep.Biologia Ce.,Fisiol i Immu;12,0;12;
C2/020;C;Despatx;Despatx professorat;;;;;;;;;;;;;;;;;Dep.Biologia Ce.,Fisiol i Immu;20,0;20;
C2/021;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep.Biologia Ce.,Fisiol i Immu;12,0;12;
C2/022;C;Despatx;Despatx professorat;;;;;;;;;; ;;;;;;;Dep.Biologia Ce.,Fisiol i Immu;20,0;20;
C2/023;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep.Biologia Ce.,Fisiol i Immu;12,0;12;
C2/024;C;Despatx;Despatx professorat;;;;;;;;;; ;;;;;;;Dep.Biologia Ce.,Fisiol i Immu;20,0;20;
C2/025;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep.Biologia Ce.,Fisiol i Immu;12,0;12;
C2/027;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep.Biologia Ce.,Fisiol i Immu;12,0;12;
C2/028;C;Despatx;Despatx;;;;;;;;;; ;;;;;;;Dep.Biologia Ce.,Fisiol i Immu;20,0;20;
C2/029;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep.Biologia Ce.,Fisiol i Immu;12,0;12;
C2/030;C;Despatx;Despatx;;;;;;;;;; ;;;;;;;Dep.Biologia Ce.,Fisiol i Immu;22,0;22;
C2/031;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep.Biologia Ce.,Fisiol i Immu;12,0;12;
C2/032;C;Despatx;Seminari;;;;;;;;;; ;;;;;;;Dep.Biologia Ce.,Fisiol i Immu;39,0;39;
C2/033;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep.Biologia Ce.,Fisiol i Immu;12,0;12;
C2/034;C;Despatx;Despatx professorat;;;;;;;;;; ;;;;;;;Dep.Biologia Ce.,Fisiol i Immu;19,0;19;
C2/035;C;Despatx;Despatx;;;;;;;;;;;;;;;;;Dep.Biologia Ce.,Fisiol i Immu;12,0;12;
