Data inicial;Hora inicial;Data final;Hora final;Total hores;Espai;Estudi;Activitat;Alumnes matriculats;Modalitat docencia;Observacions
07/01/2020;08:30;07/01/2020;09:30;1;Q1/1003;;471-09 Docència Fonam. Informàtica (TE/31) -1r GTel.-;0; ; 
07/01/2020;08:30;07/01/2020;17:00;8,5;Q2/0013;;500-12 Manteniment SIEE-SI (tall d'accés a internet);0; ; 
07/01/2020;08:30;07/01/2020;17:00;8,5;Q2/0011;;500-12 Manteniment SIEE-SI (tall d'accés a internet);0; ; 
07/01/2020;08:30;07/01/2020;17:00;8,5;Q3/0011;;500-12 Manteniment SIEE-SI (tall d'accés a internet);0; ; 
07/01/2020;08:30;07/01/2020;17:00;8,5;Q2/0017;;500-12 Manteniment SIEE-SI (tall d'accés a internet);0; ; 
07/01/2020;08:30;07/01/2020;17:00;8,5;Q2/0007;;500-12 Manteniment SIEE-SI (tall d'accés a internet);0; ; 
07/01/2020;08:30;07/01/2020;17:00;8,5;Q2/0019;;500-12 Manteniment SIEE-SI (tall d'accés a internet);0; ; 
07/01/2020;08:30;07/01/2020;17:00;8,5;Q1/0019;;500-12 Manteniment SIEE-SI (tall d'accés a internet);0; ; 
07/01/2020;08:30;07/01/2020;17:00;8,5;Q3/0007;;500-12 Manteniment SIEE-SI (tall d'accés a internet);0; ; 
07/01/2020;08:30;07/01/2020;20:00;11,5;Q2/1013;;300-12 Per electrificació Q2/1009;0; ;Evitar sorolls electrificació Q2/1009
07/01/2020;08:30;07/01/2020;21:00;12,5;Q2/1009;;300-12 Manteniment (electrificació aula);0; ; 
07/01/2020;08:30;07/01/2020;21:00;12,5;QC/0019;;155-18 Espai logístic Administració-Gestió Econòmica;0; ; 
07/01/2020;15:00;07/01/2020;17:00;2;QC/0011;6188 Internet dels Objectes per a Salut Digital / Internet of Things for e-Health;44022 Computació Al Núvol - 1;11; ; 
07/01/2020;17:00;07/01/2020;19:00;2;Q5/1011;6188 Internet dels Objectes per a Salut Digital / Internet of Things for e-Health;44023 Adquisició i Anàlisi Intel·ligent de Dades - 1;11; ; 
08/01/2020;08:30;08/01/2020;09:30;1;Q1/1003;;471-09 Docència Fonam. Informàtica (PAUL/311) -1r GTel.-;0; ; 
08/01/2020;08:30;08/01/2020;09:30;1;Q4/1009;;402-09 Docència Càlcul (G.Telecom.) -veure observacions-;0; ;TE/33 - Dimecres 08:30-09:30 TE/31 - Dijous 08:30-09:30 TE/33 - Divendres 08:30-09:30 
08/01/2020;08:30;08/01/2020;17:00;8,5;Q2/0013;;500-12 Manteniment SIEE-SI (tall d'accés a internet);0; ; 
08/01/2020;08:30;08/01/2020;17:00;8,5;Q2/0011;;500-12 Manteniment SIEE-SI (tall d'accés a internet);0; ; 
08/01/2020;08:30;08/01/2020;17:00;8,5;Q3/0011;;500-12 Manteniment SIEE-SI (tall d'accés a internet);0; ; 
08/01/2020;08:30;08/01/2020;17:00;8,5;Q2/0017;;500-12 Manteniment SIEE-SI (tall d'accés a internet);0; ; 
08/01/2020;08:30;08/01/2020;17:00;8,5;Q2/0007;;500-12 Manteniment SIEE-SI (tall d'accés a internet);0; ; 
08/01/2020;08:30;08/01/2020;17:00;8,5;Q2/0019;;500-12 Manteniment SIEE-SI (tall d'accés a internet);0; ; 
08/01/2020;08:30;08/01/2020;17:00;8,5;Q1/0019;;500-12 Manteniment SIEE-SI (tall d'accés a internet);0; ; 
08/01/2020;08:30;08/01/2020;17:00;8,5;Q3/0007;;500-12 Manteniment SIEE-SI (tall d'accés a internet);0; ; 
08/01/2020;08:30;08/01/2020;20:00;11,5;Q2/1013;;300-12 Per electrificació Q2/1009;0; ;Evitar sorolls electrificació Q2/1009
08/01/2020;08:30;08/01/2020;21:00;12,5;Q2/1009;;300-12 Manteniment (electrificació aula);0; ; 
08/01/2020;08:30;08/01/2020;21:00;12,5;QC/0019;;155-18 Espai logístic Administració-Gestió Econòmica;0; ; 
08/01/2020;08:30;08/01/2020;21:00;12,5;Q4/1003;;155-18 Lloguer d'aula a Escola Vitae;0; ; 
08/01/2020;08:30;08/01/2020;21:00;12,5;Q1/0007;;500-12 Manteniment SIEE-SI (tall d'accés a internet);0; ; 
08/01/2020;09:00;08/01/2020;11:00;2;Q4/0003;;447-09 Docència Fonaments d'Enginyeria (GEQ);0; ; 
08/01/2020;09:00;08/01/2020;12:00;3;Q3/1007;;300-03 102741 TDIW 2/3;0; ; 
08/01/2020;09:00;08/01/2020;12:00;3;Q3/1011;;300-03 102741 TDIW 3/3;0; ; 
08/01/2020;09:00;08/01/2020;12:00;3;Q3/1003;;300-03 102741 TDIW 1/3;0; ; 
08/01/2020;09:00;08/01/2020;12:00;3;Q1/1011;;300-03 104342 Fonaments de matemàtiques ;0; ; 
08/01/2020;09:00;08/01/2020;15:00;6;Q4/0011;;300-03 102407 Enginyeria bioquímica;0; ; 
08/01/2020;09:30;08/01/2020;10:30;1;Q4/1009;;402-09 Docència Càlcul (G.Telecom.) -veure observacions-;0; ;PAUL/311 - Dimecres 09:30-10:30 PAUL/331 - Dijous 10:30-11:30  
08/01/2020;09:30;08/01/2020;10:30;1;Q4/1005;;402-09 Docència Càlcul (G.Telecom.) -veure observacions-;0; ;PAUL/312 - Dimecres 09:30-10:30 PAUL/332 - Dijous 10:30-11:30
08/01/2020;12:00;08/01/2020;15:00;3;Q4/0007;;300-03 104532 Procés d'urbanització: sistema i morfologia urbana;0; ; 
08/01/2020;12:00;08/01/2020;15:00;3;Q3/1003;;300-03 103801 Àlgebra 1/4;0; ; 
08/01/2020;12:00;08/01/2020;15:00;3;Q3/1011;;300-03 103801 Àlgebra 3/4;0; ; 
08/01/2020;12:00;08/01/2020;15:00;3;Q3/0003;;300-03 103801 Àlgebra 4/4;0; ; 
08/01/2020;12:00;08/01/2020;15:00;3;Q3/1007;;300-03 103801 Àlgebra 2/4;0; ; 
08/01/2020;12:00;08/01/2020;17:00;5;Q1/1011;;300-03 102443 Biologia i Bioquímica general;0; ; 
08/01/2020;15:00;08/01/2020;17:00;2;QC/0011;6188 Internet dels Objectes per a Salut Digital / Internet of Things for e-Health;44022 Computació Al Núvol - 1;11; ; 
08/01/2020;15:00;08/01/2020;17:00;2;Q4/0003;;447-09 Docència Fonaments d'Enginyeria (GEQ);0; ; 
08/01/2020;15:30;08/01/2020;20:00;4,5;Q3/1003;;300-03 102760 Gestió de projectes 1/3;0; ; 
08/01/2020;15:30;08/01/2020;20:00;4,5;Q3/1011;;300-03 102760 Gestió de projectes 3/3;0; ; 
08/01/2020;15:30;08/01/2020;20:00;4,5;Q3/1007;;300-03 102760 Gestió de projectes 2/3;0; ; 
08/01/2020;17:00;08/01/2020;18:00;1;Q2/1003;;469-10 Docència de Parallel programming;0; ; 
08/01/2020;17:00;08/01/2020;19:00;2;Q5/1011;6188 Internet dels Objectes per a Salut Digital / Internet of Things for e-Health;44023 Adquisició i Anàlisi Intel·ligent de Dades - 1;11; ; 
08/01/2020;17:00;08/01/2020;21:00;4;Q1/1011;;300-12 Tasques manteniment i reparació (Cristalerías La Cruz);0; ; 
09/01/2020;08:30;09/01/2020;09:30;1;Q1/1003;;471-09 Docència Fonam. Informàtica (TE/33) -1r GTel.-;0; ; 
