Ubicació;Edifici;Tipus de recurs;Descripció del recurs;Observacions;Característiques específiques;;Valor característiques específiques;;Superfície Centre Gestor;Metres
QC/2037;Q;Despatx;Despatx;;;;;;18,0;18
QC/2038;Q;Despatx;Despatx;;;;;;18,0;18
QC/2039;Q;Despatx;Despatx;;;;;;18,0;18
QC/2040;Q;Despatx;Despatx;;;;;;18,0;18
QC/2041;Q;Despatx;Despatx;;;;;;18,0;18
QC/2042;Q;Despatx;Despatx;;;;;;18,0;18
QC/2044;Q;Despatx;Despatx;;;;;;18,0;18
QC/2045;Q;Despatx;Despatx;;;;;;36,0;36
QC/2046;Q;Despatx;Despatx;;;;;;36,0;36
QC/2048;Q;Despatx;Despatx;;;;;;18,0;18
QC/2049;Q;Despatx;Despatx;;;;;;18,0;18
QC/2051;Q;Despatx;Despatx;;;;;;18,0;18
QC/2052;Q;Despatx;Despatx;;;;;;18,0;18
QC/2054;Q;Despatx;Despatx;;;;;;26,0;26
QC/2056;Q;Despatx;Despatx;;;;;;18,0;18
QC/2060;Q;Despatx;Despatx;;;;;;18,0;18
QC/2085;Q;Despatx;Despatx ;;;;;;14,0;14
QC/2103;Q;Despatx;Direcció de l'Escola d'Enginyeria;;;;;;17,0;17
QC/2105;Q;Despatx;despatx;;;;;;17,0;17
QC/2107;Q;Despatx;Despatx;;;;;;17,0;17
QC/2109;Q;Despatx;Despatx;;;;;;17,0;17
QC/2111;Q;Despatx;Despatx;;;;;;17,0;17
QC/2113;Q;Despatx;despatx;;;;;;17,0;17
QC/2115;Q;Despatx;Despatx;;;;;;16,0;16
QC/2117;Q;Despatx;despatx;;;;;;16,0;16
QC/2119;Q;Despatx;Despatx;;;;;;16,0;16
QC/2123;Q;Despatx;Despatx;;;;;;17,0;17
QC/2125;Q;Despatx;Despatx;;;;;;16,0;16
QC/2127;Q;Despatx;Despatx;;;;;;17,0;17
QC/2129;Q;Despatx;Despatx;;;;;;30,0;30
QC/2131;Q;Despatx;Despatx;;;;;;16,0;16
QC/2137;Q;Despatx;Despatx;;;;;;17,0;17
QC/2163;Q;Despatx;Despatx;;;;;;35,0;35
QC/2165;Q;Despatx;Despatx;;;;;;17,0;17
QC/3002;Q;Despatx;Despatx;;;;;;35,0;35
QC/3003;Q;Despatx;Despatx;;;;;;17,0;17
QC/3006;Q;Despatx;Despatx;;;;;;35,0;35
QC/3007;Q;Despatx;Despatx;;;;;;18,0;18
QC/3009;Q;Despatx;Despatx;;;;;;18,0;18
QC/3011;Q;Despatx;Despatx;;;;;;18,0;18
QC/3013;Q;Despatx;Despatx;;;;;;18,0;18
QC/3015;Q;Despatx;Despatx;;;;;;18,0;18
QC/3016;Q;Despatx;Despatx docent;;;;;;17,0;17
QC/3017;Q;Despatx;Despatx;;;;;;18,0;18
QC/3018;Q;Despatx;Despatx;;;;;;18,0;18
QC/3020;Q;Despatx;Despatx;;;;;;18,0;18
QC/3021;Q;Despatx;Despatx;;;;;;18,0;18
QC/3022;Q;Despatx;Despatx;;;;;;18,0;18
QC/3024;Q;Despatx;Despatx;;;;;;18,0;18
QC/3025;Q;Despatx;Despatx;;;;;;18,0;18
QC/3026;Q;Despatx;Despatx;;;;;;18,0;18
QC/3027;Q;Despatx;Despatx;;;;;;18,0;18
QC/3028;Q;Despatx;Despatx;;;;;;18,0;18
QC/3029;Q;Despatx;Despatx;;;;;;18,0;18
QC/3030;Q;Despatx;Despatx;;;;;;18,0;18
QC/3031;Q;Despatx;Despatx;;;;;;18,0;18
QC/3032;Q;Despatx;Despatx;;;;;;18,0;18
QC/3033;Q;Despatx;Despatx;;;;;;18,0;18
QC/3034;Q;Despatx;Despatx;;;;;;18,0;18
QC/3035;Q;Despatx;Despatx;;;;;;18,0;18
QC/3036;Q;Despatx;Despatx;;;;;;18,0;18
QC/3037;Q;Despatx;Direcció dept Eng. Electronica;;;;;;18,0;18
QC/3038;Q;Despatx;Despatx;;;;;;18,0;18
QC/3039;Q;Despatx;Despatx;;;;;;18,0;18
QC/3040;Q;Despatx;Despatx;;;;;;18,0;18
QC/3041;Q;Despatx;Despatx;;;;;;18,0;18
QC/3043;Q;Despatx;Despatx;;;;;;18,0;18
QC/3044;Q;Despatx;Despatx;;;;;;18,0;18
QC/3045;Q;Despatx;Despatx;;;;;;18,0;18
QC/3048;Q;Despatx;Despatx;;;;;;18,0;18
QC/3050;Q;Despatx;Despatx;;;;;;34,0;34
QC/3052;Q;Despatx;Despatx;;;;;;32,0;32
QC/3055;Q;Despatx;Despatx;;;;;;17,0;17
QC/3056;Q;Despatx;Despatx Impressores;;;;;;4,0;4
QC/3059;Q;Despatx;Despatx;;;;;;17,0;17
QC/3076;Q;Despatx;Despatx;;;;;;16,0;16
QC/3082;Q;Despatx;Despatx;;;;;;18,0;18
QC/3091A;Q;Despatx;Despatx;;;;;;30,0;30
QC/3091B;Q;Despatx;Despatx;;;;;;35,0;35
QC/3093A;Q;Despatx;Despatx;;;;;;30,0;30
QC/3093B;Q;Despatx;Despatx;;;;;;35,0;35
QC/3095;Q;Despatx;Secretaria;;;;;;17,0;17
QC/3097;Q;Despatx;Despatx;;;;;;17,0;17
QC/3099;Q;Despatx;Despatx;;;;;;17,0;17
QC/3101A;Q;Despatx;Despatx;;;;;;17,0;17
QC/3101B;Q;Despatx;Despatx;;;;;;68,0;68
QC/3101C;Q;Despatx;Sala de becaris;;;;;;34,0;34
QC/3103;Q;Despatx;Despatx;;;;;;17,0;17
QC/3105;Q;Despatx;Despatx;;;;;;17,0;17
QC/3107;Q;Despatx;Guest Room;;;;;;1,0;1
QC/3109A;Q;Despatx;Despatx;;;;;;16,0;16
QC/3109B;Q;Despatx;Despatx;;;;;;16,0;16
QC/3109C;Q;Despatx;Despatx;;;;;;36,0;36
QC/3113D;Q;Despatx;Despatx becaris i personal de diferents departaments;;;;;;33,6;210
;;;;;;;;;21,0;
;;;;;;;;;46,2;
;;;;;;;;;33,6;
;;;;;;;;;21,0;
;;;;;;;;;33,6;
;;;;;;;;;21,0;
QP/0004;Q;Despatx;Despatx;;;;;;16,0;16
QC/0026;Q;Laboratoris de recerca;OpenLabs;;;;;;25,0;25
QC/0038;Q;Laboratoris de recerca;Sala bruta Openlabs;;;;;;40,0;40
QC/0067;Q;Laboratoris de recerca;Laboratori de recerca;;;;;;68,0;68
QC/0069;Q;Laboratoris de recerca;Laboratori de recerca;;;;;;35,0;35
QC/0071;Q;Laboratoris de recerca;Laboratori dAnàlisi Instrumental;;;;;;12,0;12
QC/0073;Q;Laboratoris de recerca;Laboratori de recerca;;;;;;17,0;17
QC/0075;Q;Laboratoris de recerca;Laboratori de recerca;;;;;;35,0;35
QC/0077;Q;Laboratoris de recerca;Laboratori de recerca;;;;;;17,0;17
QC/0079;Q;Laboratoris de recerca;Laboratori de recerca;;;;;;34,0;34
QC/0081;Q;Laboratoris de recerca;Laboratori de recerca;;;;;;17,0;17
QC/0083;Q;Laboratoris de recerca;Laboratori de recerca;;;;;;17,0;17
QC/0085;Q;Laboratoris de recerca;Laboratori de recerca;;;;;;17,0;17
QC/0087;Q;Laboratoris de recerca;Laboratori de recerca;;;;;;17,0;17
QC/0087.1;Q;Laboratoris de recerca;Laboratori de recerca;;;;;;16,0;16
QC/0087.5;Q;Laboratoris de recerca;Laboratori de recerca;;;;;;13,0;13
QC/0089;Q;Laboratoris de recerca;Laboratori de recerca;;;;;;35,0;35
QC/0107;Q;Laboratoris de recerca;Laboratori de recerca;;;;;;35,0;35
QC/0109;Q;Laboratoris de recerca;Laboratori de recerca;;;;;;17,0;17
QC/0111;Q;Laboratoris de recerca;Laboratori de recerca;;;;;;35,0;35
QC/0113;Q;Laboratoris de recerca;Laboratori de recerca;;;;;;63,0;63
QC/0113.1;Q;Laboratoris de recerca;Cambres;;;;;;9,0;9
QC/0113.3;Q;Laboratoris de recerca;Cambres;;;;;;9,0;9
QC/1031;Q;Laboratoris de recerca;Laboratori de receca;;;;;;36,0;36
QC/1033;Q;Laboratoris de recerca;Lab. de recerca B;;;;;;36,0;36
QC/1043;Q;Laboratoris de recerca;Laboratori;;;;;;34,0;34
QC/2011;Q;Laboratoris de recerca;Laboratori A. Turing;;;;;;18,0;18
QC/2053;Q;Laboratoris de recerca;Laboratori;;;;;;18,0;18
QC/2057;Q;Laboratoris de recerca;Laboratori;;;;;;18,0;18
QC/2059;Q;Laboratoris de recerca;Laboratori;;;;;;35,0;35
QC/2061;Q;Laboratoris de recerca;Laboratori;;;;;;36,0;36
QC/2082;Q;Laboratoris de recerca;Laboratori 1;;;;;;36,0;36
QC/2090;Q;Laboratoris de recerca;Laboratori 2;;;;;;89,0;89
QC/2099;Q;Laboratoris de recerca;Laboratori docent;;;;;;30,0;30
QC/2101;Q;Laboratoris de recerca;Laboratoriisional I.C.N.;;;;;;30,0;30
QC/2121;Q;Laboratoris de recerca;Laboratori Kleinrock;Utilitzen la porta QC/2125.;;;;;30,0;30
QC/2135;Q;Laboratoris de recerca;Laboratori docent;;;;;;16,0;16
QC/2149;Q;Laboratoris de recerca;Laboratori de recerca;La porta d'accés (n'hi ha tres) és la QC/2157;;;;;52,0;52
QC/2155;Q;Laboratoris de recerca;Laboratori docent;;;;;;51,0;51
QC/2161;Q;Laboratoris de recerca;Laboratori docent;;;;;;17,0;17
QC/3010;Q;Laboratoris de recerca;Laboratori Projectes;;;;;;36,0;36
QC/3047;Q;Laboratoris de recerca;Laboratori;;;;;;36,0;36
QC/3078;Q;Laboratoris de recerca;Laboratori Clúster;;;;;;18,0;18
QP/0002;Q;Laboratoris de recerca;Cambra fosca;;;;;;8,0;8
QP/0003;Q;Laboratoris de recerca;Laboratori de recerca;;;;;;75,0;75
QP/0003.1;Q;Laboratoris de recerca;Laboratori;;;;;;6,0;6
QP/0003.2;Q;Laboratoris de recerca;Autoclau;;;;;;17,0;17
QP/0003.3;Q;Laboratoris de recerca;Cambra fosca;;;;;;15,0;15
QP/0005;Q;Laboratoris de recerca;Laboratori de recerca;;;;;;64,0;64
QP/0005.1;Q;Laboratoris de recerca;Laboratori de recerca;;;;;;17,0;17
QP/0005.2;Q;Laboratoris de recerca;Laboratori de recerca;;;;;;16,0;16
QP/0006;Q;Laboratoris de recerca;Laboratori de recerca;;;;;;67,0;67
QP/0007.1;Q;Laboratoris de recerca;Sala de control;;;;;;14,0;14
QP/0007.2;Q;Laboratoris de recerca;Sala de control;;;;;;10,0;10
QP/0008;Q;Laboratoris de recerca;Laboratori de recerca;;;;;;72,0;72
QP/0008.2;Q;Laboratoris de recerca;Laboratori de recerca;;;;;;6,0;6
QP/0008.3;Q;Laboratoris de recerca;Laboratori de recerca;;;;;;5,0;5
QP/0008.4;Q;Laboratoris de recerca;Laboratori de recerca;;;;;;16,0;16
QP/0009.2;Q;Laboratoris de recerca;Laboratori de recerca;;;;;;22,0;22
QP/0009.3;Q;Laboratoris de recerca;Laboratori de recerca;;;;;;18,0;18
QP/0009.5;Q;Laboratoris de recerca;Laboratori de recerca;;;;;;51,0;51
QP/0009.6;Q;Laboratoris de recerca;Laboratori de recerca;;;;;;17,0;17
QC/1039;Q;Sala d'equips informàtics;Sala d`equips informatics;;;;;;4,0;4
QC/1078;Q;Sala d'equips informàtics;Sala d`equips informatics;;;;;;18,0;18
QC/1081.1;Q;Sala d'equips informàtics;Server;;;;;;4,0;4
Q1/0015;Q;Sala d'equips informàtics;Sala de servidors;;;;;;8,0;8
QC/2055;Q;Taller o planta de producció;Taller;;;;;;18,0;18
Q2/0003;Q;Sala d'estudis;Sala d`estudis (dues portes);;;;;;106,0;106
Q6/1011;Q;Sala d'estudis;Sala de silenci (sala d'estudis);;;;;;76,0;76
Q6/1014;Q;Sala d'estudis;Sala de treball 1;"Equipament: TV 55"", pc de sobretaula, webcam, taula i 4 cadires";;;;;7,0;7
Q6/1014.A;Q;Sala d'estudis;Sala de treball 2;"Equipament: TV 55"", pc sobretaula amb webcam, taula i 4 cadires";;;;;7,0;7
Q6/1015;Q;Sala d'estudis;Sala de treball 3;"Equipament: TV 55"", pc sobretaula, webcam, taula i 4 cadires";;;;;7,0;7
QC/0016;Q;Arxiu;Arxiu Gaisl;;;;;;24,0;24
QC/0036;Q;Arxiu;Arxiu ETSE;;;;;;14,0;14
QA/0001;Q;Ascensors;Ascensor cos central;;;;;;4,0;4
QA/0002;Q;Ascensors;Ascensor cos central;;;;;;4,0;4
QA/0003;Q;Ascensors;Asc.cos ctral./esq.Banc Santan;;;;;;4,0;4
QA/0004;Q;Ascensors;Asc.cos ctral./dreta Direcció;;;;;;4,0;4
QA/0006;Q;Ascensors;Asc.cos ctral./dreta E.Quimica;;;;;;4,0;4
QA/1000;Q;Ascensors;Ascensor Espina 1;;;;;;4,0;4
QA/2000;Q;Ascensors;Ascensor Espina 2;;;;;;4,0;4
QA/3000;Q;Ascensors;Ascensor Espina 3;;;;;;4,0;4
QA/4000;Q;Ascensors;Ascensor Espina 4;;;;;;4,0;4
QA/5000;Q;Ascensors;Ascensor Espina 5;;;;;;4,0;4
QA/6000;Q;Ascensors;Ascensor Espina 6;;;;;;4,0;4
QC/0008;Q;Espais administratius i serveis;Gestió Acadèmica i Suport Log.;;;;;;115,0;115
QC/0013;Q;Espais administratius i serveis;Gestió Econòmica;;;;;;33,0;33
QC/0013.1;Q;Espais administratius i serveis;Gestió Econòmica (despatx);;;;;;17,0;17
QC/0017;Q;Espais administratius i serveis;Despatx Administrador/a centre;;;;;;27,0;27
QC/0018;Q;Espais administratius i serveis;Depatx Gestora Gaisl;;;;;;13,0;13
QC/0020;Q;Espais administratius i serveis;Consell d'Estudiants;;;;;;31,0;31
QC/0020.1;Q;Espais administratius i serveis;Consell d'Estudiats (despatx);;;;;;10,0;10
QC/0020.2;Q;Espais administratius i serveis;Consell d'Estudiats (despatx);;;;;;10,0;10
QC/0023;Q;Espais administratius i serveis;Secretaria Admin. Centre;;;;;;27,0;27
QC/1041;Q;Espais administratius i serveis;Secretaria de departament;;;;;;36,0;36
QC/2024;Q;Espais administratius i serveis;U. Integral Suport Adm. Dept.;;;;;;36,0;36
QC/3019;Q;Espais administratius i serveis;Sala de fotocòpies;;;;;;6,0;6
QC/3023;Q;Espais administratius i serveis;Secretaria departament;;;;;;30,0;30
QC/3086;Q;Espais administratius i serveis;Espais d`Adm i Ser.;;;;;;18,0;18
QC/-1018;Q;Cablatge intern/extern;RACK - servei comunicacions;;;;;;12,0;12
QC/2058;Q;Cablatge intern/extern;Cablatge;;;;;;8,0;8
Q/000;Q;Cablatge intern/extern;Ubicació cablatge;;;;;;1,0;1
Q5/0002;Q;Cablatge intern/extern;Cablatge;;;;;;6,0;6
QC/2007;Q;Espais exteriors;Pati de ventilació;;;;;;13,0;13
QC/3080;Q;Espais exteriors;Pati de ventilació;;;;;;6,0;6
Q/0X1;Q;Espais exteriors;Espais exteriors ETSE;;;;;;1,0;1
Q/0X2;Q;Espais exteriors;Teulada;;;;;;1,0;1
QC/0039;Q;Lavabos;Lavabos d`homes;;;;;;15,0;15
QC/0045;Q;Lavabos;Lavabos de dones;;;;;;19,0;19
QC/0097;Q;Lavabos;Lavabos d`homes;;;;;;16,0;16
QC/0103;Q;Lavabos;Lavabos de dones;;;;;;13,0;13
QC/0103.1;Q;Lavabos;Lavabo de minusvàlids;;;;;;4,0;4
QC/-1024;Q;Lavabos;Lavabos mixtes;;;;;;9,0;9
QC/1057;Q;Lavabos;Lavabos de dones;;;;;;16,0;16
QC/1060;Q;Lavabos;Vestíbul lavabos mixtes;;;;;;3,0;3
QC/1062;Q;Lavabos;Lavabos de dones (2 portes int;;;;;;11,0;11
QC/1065;Q;Lavabos;Lavabos d`homes;;;;;;18,0;18
QC/1068;Q;Lavabos;Lavabos d`homes;;;;;;11,0;11
QC/1125;Q;Lavabos;Lavabos d`homes;;;;;;15,0;15
QC/1127;Q;Lavabos;Lavabos de dones;;;;;;19,0;19
QC/2066;Q;Lavabos;Lavabos de dones;;;;;;11,0;11
QC/2071;Q;Lavabos;Lavabos d`homes;;;;;;12,0;12
QC/2072;Q;Lavabos;Lavabos d`homes;;;;;;11,0;11
QC/2079;Q;Lavabos;Lavabos de dones;;;;;;16,0;16
QC/2141;Q;Lavabos;lavabos;;;;;;15,0;15
QC/2141.1;Q;Lavabos;Lavabos;;;;;;1,0;1
QC/2141.2;Q;Lavabos;Lavabos;;;;;;1,0;1
QC/2141.5;Q;Lavabos;labavos;;;;;;1,0;1
QC/2143;Q;Lavabos;lavabos;;;;;;11,0;11
QC/2143.1;Q;Lavabos;lavabos;;;;;;1,0;1
QC/2143.3;Q;Lavabos;lavabos;;;;;;1,0;1
QC/3062;Q;Lavabos;Lavabos de dones (2 portes);;;;;;11,0;11
QC/3065;Q;Lavabos;Lavabos d`homes;;;;;;17,0;17
QC/3068;Q;Lavabos;Lavabos d`homes;;;;;;12,0;12
QC/3073;Q;Lavabos;Lavabos de dones (2 portes);;;;;;13,0;13
QP/0011;Q;Lavabos;Lavabos;;;;;;5,0;5
QS/0004;Q;Lavabos;Vestíbul lavabos mixtes;;;;;;16,0;16
QS/0005;Q;Lavabos;Lavabos de dones;;;;;;10,0;10
QS/0010;Q;Lavabos;Vestíbul lavabo homes;;;;;;3,0;3
QS/0011;Q;Lavabos;Lavabos d`homes;;;;;;6,0;6
QS/0014;Q;Lavabos;Servei de neteja;;;;;;4,0;4
QS/0017;Q;Lavabos;Vestíbul lavabo homes/dones;;;;;;10,0;10
QS/0018;Q;Lavabos;Lavabos Dona;;;;;;6,0;6
QS/0019;Q;Lavabos;Lavabos d`home;;;;;;6,0;6
QS/0029;Q;Lavabos;Lavabos d`homes;;;;;;6,0;6
QS/0032;Q;Lavabos;Lavabos minusvàlids;;;;;;4,0;4
QS/0036;Q;Lavabos;Lavabos de dones;;;;;;10,0;10
QS/0041;Q;Lavabos;Lavabos d`homes;;;;;;8,0;8
QS/1004;Q;Lavabos;Vestíbul lavabos mixtes;;;;;;16,0;16
QS/1005;Q;Lavabos;Lav.dones(QS/1006-1007-1008-09;;;;;;10,0;10
QS/1010;Q;Lavabos;Vestíbul lavabo homes;;;;;;3,0;3
QS/1011;Q;Lavabos;Lavabos d`homes;;;;;;9,0;9
QS/1014;Q;Lavabos;Servei de neteja;;;;;;4,0;4
QS/1015;Q;Lavabos;Vestíbul lavabos mixtes;;;;;;16,0;16
QS/1016;Q;Lavabos;Lavabos de dones;;;;;;10,0;10
QS/1021;Q;Lavabos;Lavabos d`homes;;;;;;12,0;12
QS/1025;Q;Lavabos;Lavabos minusvàlids;;;;;;4,0;4
QS/1027;Q;Lavabos;Vestíbul lavabos mixtes;;;;;;15,0;15
QS/1028;Q;Lavabos;Lavabos de dones;;;;;;10,0;10
QS/1033;Q;Lavabos;Lavabos d`homes + accés minusv;;;;;;3,0;3
QS/1034;Q;Lavabos;Lavabos d`homes;;;;;;9,0;9
QS/1037;Q;Lavabos;Lavabos minusvàlids;;;;;;4,0;4
QS/1040;Q;Lavabos;Lavabos de dones;;;;;;10,0;10
QS/1045;Q;Lavabos;Lavabos d`homes;;;;;;10,0;10
Q5/0000;Q;Lavabos;Lavabos minusvàlids;;;;;;4,0;4
Q5/0001;Q;Lavabos;Abocador;;;;;;3,0;3
Q5/1001;Q;Lavabos;Lavabos de dones;;;;;;17,0;17
Q5/2000;Q;Lavabos;Lavabos d`homes;;;;;;17,0;17
Q6/0004;Q;Lavabos;Lavabos minusvàlids;;;;;;4,0;4
Q6/1002;Q;Lavabos;Lavabos dones;;;;;;17,0;17
Q6/2001;Q;Lavabos;Lavabos d`homes (entrada);;;;;;17,0;17
QC/0005;Q;Magatzem;Magatzem GAIS;;;;;;22,0;22
QC/0005.1;Q;Magatzem;Magatzem Openlabs;;;;;;11,0;11
QC/0057;Q;Magatzem;Magatzem (productes neteja);;;;;;10,0;10
QC/0101;Q;Magatzem;Magatzem;;;;;;3,0;3
QC/-1014;Q;Magatzem;Magatzem GAISL;;;;;;29,0;29
QC/-1030;Q;Magatzem;Magatzem (productes neteja);;;;;;6,0;6
QC/2089;Q;Magatzem;Magatzem Microelectrònica;;;;;;13,0;13
QC/3083;Q;Magatzem;Magatzem;;;;;;12,0;12
QP/0012;Q;Magatzem;Magatzem;;;;;;68,0;68
QP/0014;Q;Magatzem;Armari exterior;;;;;;2,0;2
QP/0020;Q;Magatzem;Edifici Residus;;;;;;22,0;22
QP/0020.1;Q;Magatzem;Edifici residus annexe;;;;;;18,0;18
Q/-1012;Q;Magatzem;Magatzem;;;;;;8,0;8
Q/-1017;Q;Magatzem;Magatzem;;;;;;10,0;10
Q/-1018;Q;Magatzem;Magatzem;;;;;;8,0;8
Q/-1021;Q;Magatzem;Magatzem (deixalleria centre);;;;;;9,0;9
Q/-1023;Q;Magatzem;Magatzem;;;;;;9,0;9
QC/0059;Q;Menjadors i cuines offics;Menjador Dept. Eng. Quimica;;;;;;37,0;37
QC/-1034;Q;Menjadors i cuines offics;Menjador personal centre;;;;;;30,0;30
QC/2043;Q;Menjadors i cuines offics;Sala menjador ;;;;;;36,0;36
QC/3005.1;Q;Menjadors i cuines offics;Menjador ;;;;;;36,0;36
QC/3079;Q;Menjadors i cuines offics;menjador dep E.E.;;;;;;14,0;14
QC/0001;Q;Passadissos i escales;Accés al centre (sis portes);;;;;;1213,0;1213
QC/0009;Q;Passadissos i escales;Pas. Direcció-Administració;;;;;;109,0;109
QC/0022;Q;Passadissos i escales;Porta ferro accès de passadis;;;;;;43,0;43
QC/0024;Q;Passadissos i escales;Porta ferro accès de passadis;;;;;;16,0;16
QC/0037;Q;Passadissos i escales;Vestíbul escales pl. baixa;;;;;;65,0;65
QC/0065;Q;Passadissos i escales;Passadís;;;;;;67,0;67
QC/0093;Q;Passadissos i escales;Passadís;;;;;;31,0;31
QC/0099;Q;Passadissos i escales;Passadís;;;;;;39,0;39
QC/-1000;Q;Passadissos i escales;Passadissos (porta d`emergènci;;;;;;97,0;97
QC/1000;Q;Passadissos i escales;Passadissos;;;;;;75,0;75
QC/-1016;Q;Passadissos i escales;Passadísos;;;;;;6,0;6
QC/1055;Q;Passadissos i escales;Passadissos;;;;;;70,0;70
QC/1071;Q;Passadissos i escales;Passera;;;;;;269,0;269
QC/1074;Q;Passadissos i escales;Passadissos;;;;;;22,0;22
QC/1080;Q;Passadissos i escales;Pati de ventilació;;;;;;6,0;6
QC/1129;Q;Passadissos i escales;Passadís;;;;;;70,0;70
QC/2000;Q;Passadissos i escales;Passadissos;;;;;;73,0;73
QC/2001;Q;Passadissos i escales;Passadissos;;;;;;50,0;50
QC/2062;Q;Passadissos i escales;Passadissos;;;;;;52,0;52
QC/2067;Q;Passadissos i escales;Passadissos;;;;;;81,0;81
QC/2078;Q;Passadissos i escales;Passadissos;;;;;;12,0;12
QC/2093;Q;Passadissos i escales;Vestibul (porta talla-focs);;;;;;71,0;71
QC/2145;Q;Passadissos i escales;passadís;;;;;;28,0;28
QC/3000;Q;Passadissos i escales;Passadissos;;;;;;73,0;73
QC/3001;Q;Passadissos i escales;Passadissos;;;;;;49,0;49
QC/3005;Q;Passadissos i escales;Pati de ventilació;;;;;;12,0;12
QC/3058;Q;Passadissos i escales;Passadísos;;;;;;52,0;52
QC/3061;Q;Passadissos i escales;Passadissos;;;;;;81,0;81
QC/3074;Q;Passadissos i escales;Passadís;;;;;;8,0;8
QC/3087;Q;Passadissos i escales;Passadis;;;;;;71,0;71
QS/1001;Q;Passadissos i escales;Passadissos;;;;;;448,0;448
Q/0I1;Q;Passadissos i escales;Espais interiors ETSE;;;;;;1,0;1
Q1/0001;Q;Passadissos i escales;Pas. Aula Inf.+ Sala Graus;;;;;;132,0;132
Q/-1006;Q;Passadissos i escales;Passadís vestíbul;;;;;;20,0;20
Q1/1001;Q;Passadissos i escales;Passadís Aules Q1(1a. Planta);;;;;;133,0;133
Q2/0001;Q;Passadissos i escales;Pas.Lab.Int. + Sala d`Estudis;;;;;;137,0;137
Q2/1001;Q;Passadissos i escales;Passadís Aules Q2 (1a. Planta);;;;;;118,0;118
Q3/0001;Q;Passadissos i escales;Passadís Aules Q3 Planta Baixa;;;;;;133,0;133
Q3/1001;Q;Passadissos i escales;Passadís Aules Q3, Planta 1a;;;;;;130,0;130
Q4/0001;Q;Passadissos i escales;Passadís Aules Q4, Pl. Baixa;;;;;;134,0;134
Q4/1001;Q;Passadissos i escales;Passadís Aules Q4, Planta 1a.;;;;;;130,0;130
Q5/0005;Q;Passadissos i escales;Pas. i Escales (Por. Emer. Pl0;;;;;;67,0;67
Q5/1000;Q;Passadissos i escales;Pas,escalas,i accés a passera;;;;;;340,0;340
Q6/0001;Q;Passadissos i escales;Pas. i Escales (Porta d`Emer.);;;;;;66,0;66
Q6/1001;Q;Passadissos i escales;Passadís,escal i accés passera;;;;;;345,0;345
QC/0012;Q;Sala de màquines i instal·lacions;Control alarmes (també Qc/0006;;;;;;13,0;13
QC/0042;Q;Sala de màquines i instal·lacions;Quadre elèctric + pati vent.;;;;;;6,0;6
QC/0095;Q;Sala de màquines i instal·lacions;Sala maquines;;;;;;6,0;6
QC/-1020;Q;Sala de màquines i instal·lacions;Sala de màquines;;;;;;27,0;27
QC/-1022;Q;Sala de màquines i instal·lacions;Taller mant. i climatització;;;;;;18,0;18
QC/1069;Q;Sala de màquines i instal·lacions;Cablatge;;;;;;12,0;12
QC/1073;Q;Sala de màquines i instal·lacions;Pati instal·lacions;;;;;;4,0;4
QC/1077;Q;Sala de màquines i instal·lacions;Pati instal·lacions;;;;;;4,0;4
QC/1123;Q;Sala de màquines i instal·lacions;Pati instal·lacions;;;;;;5,0;5
QC/2084;Q;Sala de màquines i instal·lacions;Pati de ventilació;;;;;;6,0;6
QC/2091;Q;Sala de màquines i instal·lacions;pati instal.lacions;;;;;;4,0;4
QC/2095;Q;Sala de màquines i instal·lacions;Pati de ventilació;;;;;;4,0;4
QC/3081;Q;Sala de màquines i instal·lacions;Vestibul;;;;;;2,0;2
QC/3085;Q;Sala de màquines i instal·lacions;pati insta.lacions;;;;;;4,0;4
QP/0013;Q;Sala de màquines i instal·lacions;Sala maquines;;;;;;89,0;89
QP/0015;Q;Sala de màquines i instal·lacions;Armari gasos tècnics;;;;;;2,0;2
QP/0016;Q;Sala de màquines i instal·lacions;Armari gasos tècnics;;;;;;1,0;1
QP/0017;Q;Sala de màquines i instal·lacions;Armari gasos tècnics;;;;;;1,0;1
QP/0018;Q;Sala de màquines i instal·lacions;Armari gasos tècnics;;;;;;1,0;1
QP/0019;Q;Sala de màquines i instal·lacions;Armari gasos tècnics;;;;;;2,0;2
QS/0015;Q;Sala de màquines i instal·lacions;Pati de ventilacio i quadre el;;;;;;6,0;6
QS/0022;Q;Sala de màquines i instal·lacions;Pati ventilació;;;;;;6,0;6
QS/0022.1;Q;Sala de màquines i instal·lacions;Quadre elèctric;;;;;;2,0;2
QS/0033;Q;Sala de màquines i instal·lacions;Pati de ventilacio i quadre el;;;;;;6,0;6
QS/0044;Q;Sala de màquines i instal·lacions;Pati de ventilació;;;;;;6,0;6
QS/1003;Q;Sala de màquines i instal·lacions;Pati de ventilació;;;;;;13,0;13
QS/1014BIS;Q;Sala de màquines i instal·lacions;Pati de ventilació;;;;;;6,0;6
QS/1038;Q;Sala de màquines i instal·lacions;Pati de ventilació;;;;;;6,0;6
QS/1049;Q;Sala de màquines i instal·lacions;Pati de ventilació;;;;;;6,0;6
Q/-1007;Q;Sala de màquines i instal·lacions;Pati de ventilació;;;;;;13,0;13
Q/-1008;Q;Sala de màquines i instal·lacions;Quadres elèctrics;;;;;;19,0;19
Q/-1009;Q;Sala de màquines i instal·lacions;Cablatge;;;;;;15,0;15
Q/-1010;Q;Sala de màquines i instal·lacions;Caldera;;;;;;10,0;10
