Data inicial;Hora inicial;Data final;Hora final;Total hores;Espai;Estudi;Activitat;Alumnes matriculats;Modalitat docencia;Observacions
 ; ; ; ; ;Q4/0011;10089 Enginyeria Informàtica i Enginyeria Electrònica de Telecomunicació;102709 Teoria de Circuits i Electrònica - 33;84; ; 
 ; ; ; ; ;Q4/0011;10088 Enginyeria Informàtica i Enginyeria de Sistemes de Telecomunicació;102709 Teoria de Circuits i Electrònica - 33;84; ; 
 ; ; ; ; ;Q4/0011;10100 Enginyeria Electrònica de Telecomunicació + Enginyeria de Sistemes de Telecomunicació;102709 Teoria de Circuits i Electrònica - 33;84; ; 
07/01/2021;10:30;07/01/2021;11:30;1;Q3/0003;10089 Enginyeria Informàtica i Enginyeria Electrònica de Telecomunicació;102709 Teoria de Circuits i Electrònica - 311;Sense grup de matricula; ; 
 ; ; ; ; ;Q3/0003;10063 Enginyeria Electrònica de Telecomunicació;102709 Teoria de Circuits i Electrònica - 311;Sense grup de matricula; ; 
 ; ; ; ; ;Q3/0003;6084 Enginyeria de Telecomunicació / Telecommunication Engineering;102709 Teoria de Circuits i Electrònica - 311;Sense grup de matricula; ; 
 ; ; ; ; ;Q3/0003;10064 Enginyeria de Sistemes de Telecomunicació;102709 Teoria de Circuits i Electrònica - 311;Sense grup de matricula; ; 
 ; ; ; ; ;Q3/0003;10088 Enginyeria Informàtica i Enginyeria de Sistemes de Telecomunicació;102709 Teoria de Circuits i Electrònica - 311;Sense grup de matricula; ; 
 ; ; ; ; ;Q3/0003;10100 Enginyeria Electrònica de Telecomunicació + Enginyeria de Sistemes de Telecomunicació;102709 Teoria de Circuits i Electrònica - 311;Sense grup de matricula; ; 
07/01/2021;10:30;07/01/2021;11:30;1;Q4/1009;10089 Enginyeria Informàtica i Enginyeria Electrònica de Telecomunicació;103796 Càlcul - 312;Sense grup de matricula; ; 
 ; ; ; ; ;Q4/1009;10100 Enginyeria Electrònica de Telecomunicació + Enginyeria de Sistemes de Telecomunicació;103796 Càlcul - 312;Sense grup de matricula; ; 
 ; ; ; ; ;Q4/1009;10063 Enginyeria Electrònica de Telecomunicació;103796 Càlcul - 312;Sense grup de matricula; ; 
 ; ; ; ; ;Q4/1009;10064 Enginyeria de Sistemes de Telecomunicació;103796 Càlcul - 312;Sense grup de matricula; ; 
 ; ; ; ; ;Q4/1009;10088 Enginyeria Informàtica i Enginyeria de Sistemes de Telecomunicació;103796 Càlcul - 312;Sense grup de matricula; ; 
07/01/2021;10:30;07/01/2021;12:30;2;Q1/0019;10109 Enginyeria de Dades;104337 Fonaments de Programació - 81;32; ; 
07/01/2021;10:30;07/01/2021;12:30;2;Q4/0003;10062 Enginyeria Informàtica;102760 Gestió de Projectes - 415;Sense grup de matricula; ; 
 ; ; ; ; ;Q4/0003;6121 Enginyeria Informàtica / Computer Engineering;102760 Gestió de Projectes - 415;Sense grup de matricula; ; 
07/01/2021;10:30;07/01/2021;12:30;2;QC/0015;10062 Enginyeria Informàtica;105074 Aplicacions de la Teoria de Codis - 450;Sense grup de matricula; ; 
07/01/2021;12:00;07/01/2021;14:00;2;Q3/1011;;Final Química Orgànica-GEQ;0; ; 
07/01/2021;12:00;07/01/2021;14:00;2;Q3/1007;;Final Química Orgànica-GEQ;0; ; 
07/01/2021;12:00;07/01/2021;14:30;2,5;Q1/1007;;Examen parcial 102713 Fon. de xarxes (2 aules);0; ; 
07/01/2021;12:00;07/01/2021;14:30;2,5;Q1/1011;;Examen parcial 102713 Fon. de xarxes (2 aules);0; ; 
07/01/2021;12:30;07/01/2021;13:30;1;Q2/0007;10062 Enginyeria Informàtica;103806 Fonaments d'Informàtica - 424;Sense grup de matricula; ; 
 ; ; ; ; ;Q2/0007;10089 Enginyeria Informàtica i Enginyeria Electrònica de Telecomunicació;103806 Fonaments d'Informàtica - 424;Sense grup de matricula; ; 
 ; ; ; ; ;Q2/0007;10088 Enginyeria Informàtica i Enginyeria de Sistemes de Telecomunicació;103806 Fonaments d'Informàtica - 424;Sense grup de matricula; ; 
07/01/2021;12:30;07/01/2021;14:30;2;Q2/1013;10089 Enginyeria Informàtica i Enginyeria Electrònica de Telecomunicació;102762 Anglès Professional I - 418;31; ; 
 ; ; ; ; ;Q2/1013;10062 Enginyeria Informàtica;102762 Anglès Professional I - 418;31; ; 
 ; ; ; ; ;Q2/1013;10088 Enginyeria Informàtica i Enginyeria de Sistemes de Telecomunicació;102762 Anglès Professional I - 418;31; ; 
07/01/2021;12:30;07/01/2021;14:30;2;Q1/0019;10109 Enginyeria de Dades;104337 Fonaments de Programació - 82;33; ; 
07/01/2021;12:30;07/01/2021;14:30;2;Q2/0011;;PLAB 424 FI;0; ; 
07/01/2021;13:30;07/01/2021;14:30;1;Q2/0007;;PLAB 424 FI;0; ; 
07/01/2021;15:00;07/01/2021;16:00;1;Q3/1007;6084 Enginyeria de Telecomunicació / Telecommunication Engineering;102709 Teoria de Circuits i Electrònica - 35;72; ; 
 ; ; ; ; ;Q3/1007;10089 Enginyeria Informàtica i Enginyeria Electrònica de Telecomunicació;102709 Teoria de Circuits i Electrònica - 35;72; ; 
 ; ; ; ; ;Q3/1007;10100 Enginyeria Electrònica de Telecomunicació + Enginyeria de Sistemes de Telecomunicació;102709 Teoria de Circuits i Electrònica - 35;72; ; 
 ; ; ; ; ;Q3/1007;10064 Enginyeria de Sistemes de Telecomunicació;102709 Teoria de Circuits i Electrònica - 35;72; ; 
 ; ; ; ; ;Q3/1007;10088 Enginyeria Informàtica i Enginyeria de Sistemes de Telecomunicació;102709 Teoria de Circuits i Electrònica - 35;72; ; 
 ; ; ; ; ;Q3/1007;10063 Enginyeria Electrònica de Telecomunicació;102709 Teoria de Circuits i Electrònica - 35;72; ; 
07/01/2021;15:00;07/01/2021;17:00;2;Q4/0003;6121 Enginyeria Informàtica / Computer Engineering;102760 Gestió de Projectes - 416;Sense grup de matricula; ; 
 ; ; ; ; ;Q4/0003;10062 Enginyeria Informàtica;102760 Gestió de Projectes - 416;Sense grup de matricula; ; 
07/01/2021;16:00;07/01/2021;17:00;1;Q3/1007;10088 Enginyeria Informàtica i Enginyeria de Sistemes de Telecomunicació;103796 Càlcul - 35;60; ; 
 ; ; ; ; ;Q3/1007;10063 Enginyeria Electrònica de Telecomunicació;103796 Càlcul - 35;60; ; 
 ; ; ; ; ;Q3/1007;10100 Enginyeria Electrònica de Telecomunicació + Enginyeria de Sistemes de Telecomunicació;103796 Càlcul - 35;60; ; 
 ; ; ; ; ;Q3/1007;10089 Enginyeria Informàtica i Enginyeria Electrònica de Telecomunicació;103796 Càlcul - 35;60; ; 
 ; ; ; ; ;Q3/1007;10064 Enginyeria de Sistemes de Telecomunicació;103796 Càlcul - 35;60; ; 
07/01/2021;17:00;07/01/2021;18:00;1;Q3/1007;10088 Enginyeria Informàtica i Enginyeria de Sistemes de Telecomunicació;103796 Càlcul - 351;Sense grup de matricula; ; 
 ; ; ; ; ;Q3/1007;10100 Enginyeria Electrònica de Telecomunicació + Enginyeria de Sistemes de Telecomunicació;103796 Càlcul - 351;Sense grup de matricula; ; 
 ; ; ; ; ;Q3/1007;10063 Enginyeria Electrònica de Telecomunicació;103796 Càlcul - 351;Sense grup de matricula; ; 
 ; ; ; ; ;Q3/1007;10064 Enginyeria de Sistemes de Telecomunicació;103796 Càlcul - 351;Sense grup de matricula; ; 
 ; ; ; ; ;Q3/1007;10089 Enginyeria Informàtica i Enginyeria Electrònica de Telecomunicació;103796 Càlcul - 351;Sense grup de matricula; ; 
07/01/2021;17:00;07/01/2021;18:00;1;Q1/1007;10064 Enginyeria de Sistemes de Telecomunicació;102709 Teoria de Circuits i Electrònica - 352;Sense grup de matricula; ; 
 ; ; ; ; ;Q1/1007;6084 Enginyeria de Telecomunicació / Telecommunication Engineering;102709 Teoria de Circuits i Electrònica - 352;Sense grup de matricula; ; 
 ; ; ; ; ;Q1/1007;10100 Enginyeria Electrònica de Telecomunicació + Enginyeria de Sistemes de Telecomunicació;102709 Teoria de Circuits i Electrònica - 352;Sense grup de matricula; ; 
 ; ; ; ; ;Q1/1007;10063 Enginyeria Electrònica de Telecomunicació;102709 Teoria de Circuits i Electrònica - 352;Sense grup de matricula; ; 
 ; ; ; ; ;Q1/1007;10088 Enginyeria Informàtica i Enginyeria de Sistemes de Telecomunicació;102709 Teoria de Circuits i Electrònica - 352;Sense grup de matricula; ; 
 ; ; ; ; ;Q1/1007;10089 Enginyeria Informàtica i Enginyeria Electrònica de Telecomunicació;102709 Teoria de Circuits i Electrònica - 352;Sense grup de matricula; ; 
07/01/2021;18:00;07/01/2021;19:00;1;Q1/1007;10063 Enginyeria Electrònica de Telecomunicació;103796 Càlcul - 352;Sense grup de matricula; ; 
 ; ; ; ; ;Q1/1007;10088 Enginyeria Informàtica i Enginyeria de Sistemes de Telecomunicació;103796 Càlcul - 352;Sense grup de matricula; ; 
 ; ; ; ; ;Q1/1007;10064 Enginyeria de Sistemes de Telecomunicació;103796 Càlcul - 352;Sense grup de matricula; ; 
 ; ; ; ; ;Q1/1007;10089 Enginyeria Informàtica i Enginyeria Electrònica de Telecomunicació;103796 Càlcul - 352;Sense grup de matricula; ; 
 ; ; ; ; ;Q1/1007;10100 Enginyeria Electrònica de Telecomunicació + Enginyeria de Sistemes de Telecomunicació;103796 Càlcul - 352;Sense grup de matricula; ; 
07/01/2021;18:00;07/01/2021;19:00;1;Q3/1007;10064 Enginyeria de Sistemes de Telecomunicació;102709 Teoria de Circuits i Electrònica - 351;Sense grup de matricula; ; 
 ; ; ; ; ;Q3/1007;10089 Enginyeria Informàtica i Enginyeria Electrònica de Telecomunicació;102709 Teoria de Circuits i Electrònica - 351;Sense grup de matricula; ; 
 ; ; ; ; ;Q3/1007;10088 Enginyeria Informàtica i Enginyeria de Sistemes de Telecomunicació;102709 Teoria de Circuits i Electrònica - 351;Sense grup de matricula; ; 
 ; ; ; ; ;Q3/1007;10100 Enginyeria Electrònica de Telecomunicació + Enginyeria de Sistemes de Telecomunicació;102709 Teoria de Circuits i Electrònica - 351;Sense grup de matricula; ; 
