Ubicació;Edifici;Tipus de recurs;Descripció del recurs;Observacions;Accés per a minusvàlids;Aire condicionat;Capacitat exàmens;Capacitat;Capacitat docència;Connexió xarxa;Mobiliari;Porta secundària;Roseta xarxa núm.;Telèfon núm.;Televisor;Característiques específiques;;Valor característiques específiques;;Centre gestor;Superfície Centre Gestor;Metres;
S/110;S;Despatx;Despatx direcció Escola d'Enginyeria;;;;;;;;;;;;;;;;;Escola d'Enginyeria;31,0;31;
S/114;S;Despatx;Despatx Deganat Economia i Empresa;;;;;;;;;;;;;;;;;Facultat d'Economia i Empresa;37,0;37;
S/121A;S;Despatx;Despatx CREIS;;;;;;;;;; ;;;;;;;Facultat d'Economia i Empresa;7,0;35;
;;;;;;;;;;;;;;;;;;;;Escola d'Enginyeria;28,0;;
S/203;S;Despatx;Despatx Empresa;;;;;;;;;;;;;;;;;Adm. Sabadell;17,0;17;
S/204;S;Despatx;Despatx Empresa;;;;;;;;;;;;;;;;;Adm. Sabadell;19,0;19;
S/205;S;Despatx;Despatx Economia i Història Econòmica;;;;;;;;;;;;;;;;;Adm. Sabadell;19,0;19;
S/206;S;Despatx;Despatx Economia i Història Econòmica;;;;;;;;;;;;;;;;;Adm. Sabadell;19,0;19;
S/207;S;Despatx;Despatx Empresa;;;;;;;;;;;;;;;;;Adm. Sabadell;19,0;19;
S/208;S;Despatx;Despatx Empresa;;;;;;;;;;;;;;;;;Adm. Sabadell;19,0;19;
S/209;S;Despatx;Despatx Empresa;;;;;;;;;;;;;;;;;Adm. Sabadell;19,0;19;
S/210;S;Despatx;Despatx Empresa;;;;;;;;;;;;;;;;;Adm. Sabadell;19,0;19;
S/211;S;Despatx;Despatx Empresa;;;;;;;;;;;;;;;;;Adm. Sabadell;19,0;19;
S/212;S;Despatx;Despatx Dret Privat;;;;;;;;;;;;;;;;;Adm. Sabadell;19,0;19;
S/215;S;Despatx;Despatx Sociologia;;;;;;;;;;;;;;;;;Escola d'Enginyeria;10,0;10;
S/216;S;Despatx;Despatx Empresa;;;;;;;;;;;;;;;;;Adm. Sabadell;12,0;12;
S/217;S;Despatx;Despatx Empresa;;;;;;;;;;;;;;;;;Adm. Sabadell;14,0;14;
S/218;S;Despatx;Despatx Dret Públic;;;;;;;;;;;;;;;;;Adm. Sabadell;15,0;15;
S/219;S;Despatx;Despatx Empresa;;;;;;;;;;;;;;;;;Adm. Sabadell;16,0;16;
S/220;S;Despatx;Despatx Empresa;;;;;;;;;;;;;;;;;Adm. Sabadell;17,0;17;
S/221;S;Despatx;Despatx Empresa;;;;;;;;;;;;;;;;;Adm. Sabadell;17,0;17;
S/222;S;Despatx;Despatx Economia Aplicada;;;;;;;;;;;;;;;;;Adm. Sabadell;17,0;17;
S/223;S;Despatx;Despatx Economia Aplicada;;;;;;;;;;;;;;;;;Adm. Sabadell;18,0;18;
S/224;S;Despatx;Despatx Economia i Història Econòmica;;;;;;;;;;;;;;;;;Adm. Sabadell;18,0;18;
S/225;S;Despatx;Despatx Economia i Història Econòmica;;;;;;;;;;;;;;;;;Adm. Sabadell;17,0;17;
S/226;S;Despatx;Despatx Empresa;;;;;;;;;;;;;;;;;Adm. Sabadell;17,0;17;
S/227;S;Despatx;Despatx Economia i Història Econòmica;;;;;;;;;;;;;;;;;Adm. Sabadell;17,0;17;
S/228;S;Despatx;Despatx Empresa;;;;;;;;;;;;;;;;;Adm. Sabadell;18,0;18;
S/229;S;Despatx;Despatx Empresa;;;;;;;;;;;;;;;;;Adm. Sabadell;18,0;18;
S/232;S;Despatx;Espai Coworking;;;;;;;;;;;;;;;;;Escola d'Enginyeria;38,0;38;
S/246;S;Despatx;Despatx Ciències de la Computació;;;;;;;;;;;;;;;;;Adm. Sabadell;19,0;19;
S/247;S;Despatx;Despatx Telecomunicació i Enginyeria de Sistemes (ULA);;;;;;;;;;;;;;;;;Adm. Sabadell;19,0;19;
S/248;S;Despatx;Despatx Telecomunicació i Enginyeria de Sistemes (ULA);;;;;;;;;;;;;;;;;Adm. Sabadell;19,0;19;
S/249;S;Despatx;Despatx Telecomunicació i Enginyeria de Sistemes (ULA);;;;;;;;;;;;;;;;;Adm. Sabadell;19,0;19;
S/250;S;Despatx;Despatx de Microelectrònica;;;;;;;;;;;;;;;;;Adm. Sabadell;19,0;19;
S/251;S;Despatx;Despatx Unitat Logística i Aeronàutica (ULA);;;;;;;;;;;;;;;;;Adm. Sabadell;19,0;19;
S/252;S;Despatx;Despatx Unitat Logística i Aeronàutica (ULA);;;;;;;;;;;;;;;;;Adm. Sabadell;19,0;19;
S/253;S;Despatx;Despatx Arquitectura Ordinador;;;;;;;;;;;;;;;;;Adm. Sabadell;19,0;19;
S/254;S;Despatx;Despatx Psicologia Social;;;;;;;;;;;;;;;;;Adm. Sabadell;19,0;19;
S/257;S;Despatx;Despatx Telecom. i Eng. Sist.;;;;;;;;;;;;;;;;;Adm. Sabadell;19,0;19;
S/258;S;Despatx;Despatx de Matemàtiques;;;;;;;;;;;;;;;;;Adm. Sabadell;19,0;19;
S/259;S;Despatx;Despatx Unitat Logística i Aeronàutica (ULA);;;;;;;;;;;;;;;;;Adm. Sabadell;19,0;19;
S/260;S;Despatx;Despatx Unitat Logística i Aeronàutica (ULA);;;;;;;;;;;;;;;;;Adm. Sabadell;19,0;19;
S/261;S;Despatx;Despatx Eng.Inf. i Comunicació;;;;;;;;;;;;;;;;;Adm. Sabadell;19,0;19;
S/262;S;Despatx;Despatx Unitat Logística i Aeronàutica (ULA);;;;;;;;;;;;;;;;;Adm. Sabadell;19,0;19;
S/241;S;Laboratoris de recerca;Despatx PIF (ULA - Unitat Logística i Aeronàutica);;;;;;26;;;;;;;;;;;Escola d'Enginyeria;80,0;80;
S/126;S;Sala d'equips informàtics;Sala de màquines SID;;;;;;;;;;;;No;;;;;Adm. Sabadell;50,0;50;
S/001;S;Biblioteca;Talla focs entrada principal Biblioteca;;;;;;;;;;;;;;;;;Adm. Sabadell;454,0;454;
S/009;S;Biblioteca;Altell sala de lectura Biblioteca;;;;;;;;;;;;;;;;;Adm. Sabadell;296,0;296;
S/010;S;Biblioteca;Sala H. Industrial Biblioteca;;;;;;;;;;;;;;;;;Adm. Sabadell;67,0;67;
S/014;S;Biblioteca;Cabina 6 Biblioteca;;;;;;;;;;;;;;;;;Adm. Sabadell;9,0;9;
S/015;S;Biblioteca;Cabina 7 Biblioteca;;;;;;;;;;;;;;;;;Adm. Sabadell;9,0;9;
S/016;S;Biblioteca;Cabina 8 Biblioteca;;;;;;;;;;;;;;;;;Adm. Sabadell;9,0;9;
S/-101;S;Biblioteca;Sala lectura planta inferior Biblioteca;;;;;;;;;;;;;;;;;Adm. Sabadell;444,0;444;
S/-114;S;Biblioteca;Cabina 1 Biblioteca;;;;;;;;;; ;;;;;;;Adm. Sabadell;20,0;20;
S/-115;S;Biblioteca;Cabina 2 Biblioteca;;;;;;;;;; ;;;;;;;Adm. Sabadell;12,0;12;
S/-116;S;Biblioteca;Cabina 3 Biblioteca;;;;;;;;;; ;;;;;;;Adm. Sabadell;12,0;12;
S/-117;S;Biblioteca;Cabina 4 Biblioteca;;;;;;;;;; ;;;;;;;Adm. Sabadell;12,0;12;
S/-118;S;Biblioteca;Cabina 5 Biblioteca;;;;;;;;;; ;;;;;;;Adm. Sabadell;12,0;12;
S/013;S;Sala d'estudis;Aula d'informàtica Biblioteca;;;;;;;;;;;;;;;;;Adm. Sabadell;18,0;18;
S/-107;S;Sala d'estudis;SALA D'ESTUDIS CAMPUS SABADELL;;;;;;;;;; ;;;;;;;Adm. Sabadell;120,0;120;
S/008;S;Arxiu;Dipòsit Biblioteca;;;;;;;;;;;;;;;;;Adm. Sabadell;4,0;4;
S/-100;S;Arxiu;Dipòsit Biblioteca;;;;;;;;;;;;;;;;;Adm. Sabadell;27,0;27;
S/118A;S;Arxiu;Arxiu de Gestió Academica;;;;;;;;;;;;;;;;;Adm. Sabadell;18,0;18;
S/SOT-005A;S;Ascensors;Sala ascensor nord;;;;;;;;;;;;;;;;;Adm. Sabadell;4,0;4;
S/SOT-007;S;Ascensors;Sala ascensor sud;;;;;;;;;;;;;;;;;Adm. Sabadell;4,0;4;
S/006;S;Espais administratius i serveis;Despatx préstec Biblioteca;;;;;;;;;;;;;;;;;Adm. Sabadell;19,0;19;
S/007;S;Espais administratius i serveis;Secretaria Biblioteca;;;;;;;;;;;;;;;;;Adm. Sabadell;31,0;31;
S/008A;S;Espais administratius i serveis;Consergeria Biblioteca;;;;;;;;;;;;;;;;;Adm. Sabadell;9,0;9;
S/012;S;Espais administratius i serveis;Despatx cap de Biblioteca;;;;;;;;;;;;;;;;;Adm. Sabadell;21,0;21;
S/023;S;Espais administratius i serveis;Slipi;;;;;;;;;;;;;;;;;Adm. Sabadell;13,0;13;
S/023A;S;Espais administratius i serveis;Àrea de treball Slipi (CONSIGNA);;;;;;;;;;;;;;;;;Adm. Sabadell;6,0;6;
S/023B;S;Espais administratius i serveis;Magatzem SLiPI;;;;;;;;;; ;;;;;;;Adm. Sabadell;15,0;15;
S/026;S;Espais administratius i serveis;Vestibul locals Estudiants;;;;;;;;;; ;;;;;;;Adm. Sabadell;12,0;12;
S/026A;S;Espais administratius i serveis;Local Estudiants Economia i Empresa;;;;;;;;;; ;;;;;;;Adm. Sabadell;22,0;22;
S/026B;S;Espais administratius i serveis;Local Estudiants Escola Enginyeria;;;;;;;;;;;;;;;;;Adm. Sabadell;22,0;22;
S/-101A;S;Espais administratius i serveis;Àrea tècnica Biblioteca;;;;;;;;;;;;;;;;;Adm. Sabadell;46,0;46;
S/107;S;Espais administratius i serveis;Suport departamental ;;;;;;;;;;;;;;;;;Adm. Sabadell;59,0;59;
S/111;S;Espais administratius i serveis;Despatx secretaries direcció;;;;;;;;;;;;;;;;;Adm. Sabadell;35,0;35;
S/116;S;Espais administratius i serveis;Gestió Econòmica;;;;;;;;;;;;;;;;;Adm. Sabadell;37,0;37;
S/117;S;Espais administratius i serveis;Despatx Administrador/a centre;;;;;;;;;;;;;;;;;Adm. Sabadell;18,0;18;
S/118;S;Espais administratius i serveis;Despatx secretaria Administ.;;;;;;;;;;;;;;;;;Adm. Sabadell;18,0;18;
S/119;S;Espais administratius i serveis;Despatx cap Gestió Academica;;;;;;;;;;;;;;;;;Adm. Sabadell;18,0;18;
S/119A;S;Espais administratius i serveis;Gestió Acadèmica;;;;;;;;;;;;;;;;;Adm. Sabadell;88,0;88;
S/128;S;Espais administratius i serveis;SID;;;;;;;;;;7-3D;937287724;;;;;;Adm. Sabadell;80,0;80;
S/213;S;Espais administratius i serveis;Sala professors;;;;;;;;;;;;;;;;;Adm. Sabadell;19,0;19;
S/213A;S;Espais administratius i serveis;Sala professors;;;;;;;;;;;;;;;;;Adm. Sabadell;23,0;23;
S/000;S;Cablatge intern/extern;Ubicació de cablatge;;;;;;;;;;;;;;;;;Adm. Sabadell;248,0;248;
;;;;;;;;;;;;;;;;;;;;;;;
S2/-114;S;Cablatge intern/extern;Cuadre llums;;;;;;;;;;;;;;;;;Adm. Sabadell;2,0;2;
S/CAMPUS;S;Espais exteriors;Campus Exterior Sabadell;;;;;;;;;;;;;;;;;Adm. Sabadell;1,0;1;
S/005;S;Espais exteriors;Sortida d`emergència nord Pl.0  Biblioteca;;;;;;;;;;;;;;;;;Adm. Sabadell;1,0;1;
S/022;S;Espais exteriors;Sortida emer. nord planta altell;;;;;;;;;;;;;;;;;Adm. Sabadell;15,0;15;
S/025;S;Espais exteriors;Sortida d`emergència sud altel;;;;;;;;;;;;;;;;;Adm. Sabadell;11,0;11;
S/-104D;S;Espais exteriors;Porta surtida Aparcament;;;;;;;;;;;;;;;;;Adm. Sabadell;3,0;3;
S/-104E;S;Espais exteriors;Sortida Aparcament (Zona Bar);;;;;;;;;;;;;;;;;Adm. Sabadell;4,0;4;
S/-105;S;Espais exteriors;Sortida Emergencia Sud;;;;;;;;;;;;;;;;;Adm. Sabadell;2,0;2;
S2/-134;S;Espais exteriors;Sortida emer. Inf. aulari 2;;;;;;;;;;;;;;;;;Adm. Sabadell;1,0;1;
S3/-101;S;Espais exteriors;Sortida d`emergència aulari 3;;;;;;;;;;;;;;;;;Adm. Sabadell;1,0;1;
S/002;S;Lavabos;Lavabos d`homes 2 Biblioteca;;;;;;;;;;;;;;;;;Adm. Sabadell;7,0;7;
S/003;S;Lavabos;Lavabos de dones 2 Biblioteca;;;;;;;;;;;;;;;;;Adm. Sabadell;8,0;8;
S/011;S;Lavabos;Lavabo 1 Biblioteca;;;;;;;;;;;;;;;;;Adm. Sabadell;9,0;9;
S/101;S;Lavabos;Lavabos d`homes 1 + 2 Ur.;;;;;;;;;;;;;;;;;Adm. Sabadell;7,0;7;
S/102;S;Lavabos;Lavabos de dones 2;;;;;;;;;;;;;;;;;Adm. Sabadell;8,0;8;
S/134;S;Lavabos;Lavabos d`homes 2 + 3 Ur.;;;;;;;;;;;;;;;;;Adm. Sabadell;15,0;15;
S/135;S;Lavabos;Lavabos de dones 3;;;;;;;;;;;;;;;;;Adm. Sabadell;15,0;15;
S/135A;S;Lavabos;Lavabo 1 Minusvalid;;;;;;;;;;;;;;;;;Adm. Sabadell;3,0;3;
S/201;S;Lavabos;Lavabos d`homes 1 + 2 Ur.;;;;;;;;;;;;;;;;;Adm. Sabadell;7,0;7;
S/202;S;Lavabos;Lavabos de dones 2;;;;;;;;;;;;;;;;;Adm. Sabadell;8,0;8;
S/255;S;Lavabos;Lavabos d`homes 2 + 3 Ur;;;;;;;;;;;;;;;;;Adm. Sabadell;15,0;15;
S/256;S;Lavabos;Lavabos de dones 3;;;;;;;;;;;;;;;;;Adm. Sabadell;15,0;15;
S/256A;S;Lavabos;Lavabo de minusvàlids 1;;;;;;;;;;;;;;;;;Adm. Sabadell;3,0;3;
S3/-114;S;Lavabos;Lavabos minusvàlids;;;;;;;;;;;;;;;;;Adm. Sabadell;4,0;4;
S3/-115;S;Lavabos;Lavabos Dona 8;;;;;;;;;;;;;;;;;Adm. Sabadell;30,0;30;
S/F;S;Magatzem;PORTA TRÀNSIT PENDENT UBICACIÓ ACTIUS FIXES;PORTA DE TRÀNSIT PENDENT D'UBICACIÓ DEL MATERIAL ACTIUS FIXES;;;;;;;;;;;;;;;;Adm. Sabadell;20,0;20;
SOT/009;S;Magatzem;Magatzem de manteniment;;;;;;;;;;;;;;;;;Adm. Sabadell;6,0;6;
S/SOT-009;S;Magatzem;Magatzem de manteniment;;;;;;;;;;;;;;;;;Adm. Sabadell;4,0;4;
S/016A;S;Magatzem;Magatzem Biblioteca;;;;;;;;;;;;;;;;;Adm. Sabadell;8,0;8;
S/029;S;Magatzem;Magatzem SLiPI;;;;;;;;;;;;;;;;;Adm. Sabadell;25,0;25;
S/-106A;S;Magatzem;MAGATZEM BAR CAMPUS SABADELL;;;;;;;;;;;;;;;;;Adm. Sabadell;8,0;8;
S/125;S;Magatzem;Magatzem SID;;;;;;;;;;;;;;;;;Adm. Sabadell;11,0;11;
S/125A;S;Magatzem;Magatzem SID;;;;;;;;;;;;;;;;;Adm. Sabadell;26,0;26;
S/125B;S;Magatzem;Magatzem SID;;;;;;;;;;;;;;;;;Adm. Sabadell;8,0;8;
S/128A;S;Magatzem;Taller SID;;;;;;;;;;;;;;;;;Adm. Sabadell;10,0;10;
S/128B;S;Magatzem;TALLER MAGATZEM SID;;;;;;;;;;;;;;;;;Adm. Sabadell;8,0;8;
S2/016;S;Magatzem;Armari aula Olga Torres;;;;;;;;;;;;;;;;;Adm. Sabadell;2,0;2;
S2/020;S;Magatzem;Armari aula 24;;;;;;;;;;;;;;;;;Adm. Sabadell;1,0;1;
S2/026;S;Magatzem;Armari aula 25;;;;;;;;;;;;;;;;;Adm. Sabadell;1,0;1;
S2/032;S;Magatzem;Armari aula 26;;;;;;;;;;;;;;;;;Adm. Sabadell;1,0;1;
S2/-112;S;Magatzem;Armari aula 20;;;;;;;;;;;;;;;;;Adm. Sabadell;2,0;2;
S2/-118;S;Magatzem;Armari aula 21;;;;;;;;;;;;;;;;;Adm. Sabadell;1,0;1;
S2/-124;S;Magatzem;Armari aula 22;;;;;;;;;;;;;;;;;Adm. Sabadell;1,0;1;
S2/-130;S;Magatzem;Armari aula 23;;;;;;;;;;;;;;;;;Adm. Sabadell;1,0;1;
S/-106;S;Menjadors i cuines offics;Bar Campus Sabadell;;;;;;;;;;;;;;;;;Adm. Sabadell;75,0;75;
S/230;S;Menjadors i cuines offics;Menjador PAS-PDI;;;;;;;;;;;;;;;;;Adm. Sabadell;27,0;27;
S/SOT-005;S;Passadissos i escales;Distribuïdor;;;;;;;;;;;;;;;;;Adm. Sabadell;3,0;3;
S/SOT-005C;S;Passadissos i escales;Distribuïdor;;;;;;;;;;;;;;;;;Adm. Sabadell;4,0;4;
S/0P2;S;Passadissos i escales;Passadís 2a planta;;;;;;;;;;;;;;;;;Adm. Sabadell;477,0;477;
S/001A;S;Passadissos i escales;Porta principal entrada Biblioteca;;;;;;;;;;;;;;;;;Adm. Sabadell;20,0;20;
S/001B;S;Passadissos i escales;Porta entrada interior a Biblioteca;;;;;;;;;;;;;;;;;Adm. Sabadell;2,0;2;
S/007A;S;Passadissos i escales;Escales manteniment Biblioteca;;;;;;;;;;;;;;;;;Adm. Sabadell;2,0;2;
S/009A;S;Passadissos i escales;Escales de manteniment 2 Biblioteca;;;;;;;;;;;;;;;;;Adm. Sabadell;7,0;7;
S/100;S;Passadissos i escales;Tallafocs 1a Planta Nord;;;;;;;;;;;;;;;;;Adm. Sabadell;74,0;74;
S/-103;S;Passadissos i escales;Sortida d`emergència nord Pl.-1 Biblioteca;;;;;;;;;;;;;;;;;Adm. Sabadell;29,0;29;
S/-105B;S;Passadissos i escales;Porta emergència sud Biblioteca;;;;;;;;;;;;;;;;;Adm. Sabadell;11,0;11;
S/108A;S;Passadissos i escales;Escales emergència nord 1a pl.;;;;;;;;;;;;;;;;;Adm. Sabadell;1,0;1;
S/-119;S;Passadissos i escales;Porta nord escala a planta -1 Biblioteca;;;;;;;;;;;;;;;;;Adm. Sabadell;378,0;378;
S/-120;S;Passadissos i escales;Porta sud escala a planta -1 Biblioteca;;;;;;;;;;;;;;;;;Adm. Sabadell;378,0;378;
S/140;S;Passadissos i escales;Tallafocs 1a Planta Sud;;;;;;;;;;;;;;;;;Adm. Sabadell;90,0;90;
S/200;S;Passadissos i escales;Tallafocs 2a Planta Nord;;;;;;;;;;;;;;;;;Adm. Sabadell;99,0;99;
S2/002;S;Passadissos i escales;Distribuïdor A S2/004 i S2/008 Sala Clima- Vestidor Nateja;;;;;;;;;;;;;;;;;Adm. Sabadell;6,0;6;
S2/010;S;Passadissos i escales;Tallafocs Espina 2 Planta 0;;;;;;;;;;;;;;;;;Adm. Sabadell;115,0;115;
S2/-100;S;Passadissos i escales;Entrada Soterrani;;;;;;;;;;;;;;;;;Adm. Sabadell;6,0;6;
S2/-108;S;Passadissos i escales;Tallafocs Espina 2 Planta -1;;;;;;;;;;;;;;;;;Adm. Sabadell;115,0;115;
S/214;S;Passadissos i escales;Escala emergència nord 2n pis;;;;;;;;;;;;;;;;;Adm. Sabadell;15,0;15;
S/243;S;Passadissos i escales;Sortida d`emergència sud Pl. 2;;;;;;;;;;;;;;;;;Adm. Sabadell;11,0;11;
S/270;S;Passadissos i escales;Tallafocs 2a Planta Sud;;;;;;;;;;;;;;;;;Adm. Sabadell;90,0;90;
S3/011;S;Passadissos i escales;Tallafocs Espina 3 Planta 0;;;;;;;;;;;;;;;;;Adm. Sabadell;3,0;3;
S3/-100;S;Passadissos i escales;Tallafocs Espina 3 Planta -1;;;;;;;;;;;;;;;;;Adm. Sabadell;3,0;3;
S3/-120;S;Passadissos i escales;Sortida Emergencia Espina 3;;;;;;;;;;;;;;;;;Adm. Sabadell;2,0;2;
SOT/001;S;Sala de màquines i instal·lacions;Entrada soterrani;;;;;;;;;;;;;;;;;Adm. Sabadell;7,0;7;
SOT/002;S;Sala de màquines i instal·lacions;Àrea d`instal·lacions;;;;;;;;;;;;;;;;;Adm. Sabadell;240,0;240;
SOT/003;S;Sala de màquines i instal·lacions;Sala d`electricitat;;;;;;;;;;;;;;;;;Adm. Sabadell;40,0;40;
SOT/004;S;Sala de màquines i instal·lacions;Sala de calderes;;;;;;;;;;;;;;;;;Adm. Sabadell;53,0;53;
SOT/008;S;Sala de màquines i instal·lacions;Sala Ibercom;;;;;;;;;;;;;;;;;Adm. Sabadell;6,0;6;
S/SOT-001;S;Sala de màquines i instal·lacions;Soterrani;;;;;;;;;;;;;;;;;Adm. Sabadell;240,0;240;
S/SOT-002;S;Sala de màquines i instal·lacions;Àrea d`instal·lacions;;;;;;;;;;;;;;;;;Adm. Sabadell;51,0;51;
S/SOT-003;S;Sala de màquines i instal·lacions;Sala d`electricitat;;;;;;;;;;;;;;;;;Adm. Sabadell;40,0;40;
S/SOT-004;S;Sala de màquines i instal·lacions;Sala de calderes;;;;;;;;;;;;;;;;;Adm. Sabadell;53,0;53;
S/SOT-008;S;Sala de màquines i instal·lacions;Sala Ibercom;;;;;;;;;;;;;;;;;Adm. Sabadell;6,0;6;
S/-1MI;S;Sala de màquines i instal·lacions;Zona instal·lacions tècniques;;;;;;;;;;;;;;;;;Adm. Sabadell;451,0;451;
S/-102;S;Sala de màquines i instal·lacions;Sala instal·lació fred Biblioteca;;;;;;;;;;;;;;;;;Adm. Sabadell;31,0;31;
S/-102A;S;Sala de màquines i instal·lacions;Sala ascensor Biblioteca;;;;;;;;;;;;;;;;;Adm. Sabadell;9,0;9;
S2/008;S;Sala de màquines i instal·lacions;Sala clima;;;;;;;;;;;;;;;;;Adm. Sabadell;10,0;10;
S2/-106;S;Sala de màquines i instal·lacions;Sala de clima;;;;;;;;;;;;;;;;;Adm. Sabadell;10,0;10;
S3/010;S;Sala de màquines i instal·lacions;Sala calefacció;;;;;;;;;;;;;;;;;Adm. Sabadell;13,0;13;
S3/-112;S;Sala de màquines i instal·lacions;Sala calefacció;;;;;;;;;;;;;;;;;Adm. Sabadell;10,0;10;
S/0V;S;Vestíbuls i sales d'espera;Vestíbul aules 4 i 5;;;;;;;;;;;;;;;;;Adm. Sabadell;200,0;200;
S/0VA;S;Vestíbuls i sales d'espera;Vestíbul fotocòpies;;;;;;;;;;;;;;;;;Adm. Sabadell;152,0;152;
S/-1V;S;Vestíbuls i sales d'espera;Vestíbul inferior;;;;;;;;;;;;;;;;;Adm. Sabadell;543,0;543;
S/1V;S;Vestíbuls i sales d'espera;Vestíbul GA;;;;;;;;;;;;;;;;;Adm. Sabadell;100,0;100;
S/-1VB;S;Vestíbuls i sales d'espera;Vestíbul entre planta 1;;;;;;;;;;;;;;;;;Adm. Sabadell;452,0;452;
S/-104A;S;Vestíbuls i sales d'espera;Vestibol Magatzem;;;;;;;;;;;;;;;;;Adm. Sabadell;10,0;10;
S/-104B;S;Vestíbuls i sales d'espera;Magatzem Deixalleria;;;;;;;;;;;;;;;;;Adm. Sabadell;14,0;14;
S/-104C;S;Vestíbuls i sales d'espera;Porta Sortida Aparcament;;;;;;;;;;;;;;;;;Adm. Sabadell;1,0;1;
S/2V;S;Vestíbuls i sales d'espera;Vestíbul menjador PAS;;;;;;;;;;;;;;;;;Adm. Sabadell;100,0;100;
S3/-110;S;Vestíbuls i sales d'espera;Distribuïdor lavabos Aulari 3;;;;;;;;;;;;;;;;;Adm. Sabadell;18,0;18;
S/-104;S;Vestuaris;Vestidor Manteniment;;;;;;;;;;;;;;;;;Adm. Sabadell;12,0;12;
S3/-113;S;Vestuaris;Lavabos d`homes 5+5 Urin.;;;;;;;;;;;;;;;;;Adm. Sabadell;19,0;19;
S3/-116;S;Vestuaris;Vestuari del PAS;;;;;;;;;;;;;;;;;Adm. Sabadell;4,0;4;
SOT/005B;S;Espais cedits i concessionaris;Taller manteniment Integral;;;;;;;;;;;;;;;;;Adm. Sabadell;17,0;17;
S/SOT-005B;S;Espais cedits i concessionaris;Taller manteniment Integral;;;;;;;;;;;;;;;;;Adm. Sabadell;17,0;17;
S/004;S;Espais cedits i concessionaris;Servei de reprografia Biblioteca;;;;;;;;;;;;;;;;;Adm. Sabadell;24,0;24;
S/030;S;Espais cedits i concessionaris;Servei de reprografia;;;;;;;;;;;;;;;;;Adm. Sabadell;43,0;43;
S/134A;S;Espais cedits i concessionaris;Magatzem de neteja;;;;;;;;;;;;;;;;;Adm. Sabadell;2,0;2;
S2/004;S;Espais cedits i concessionaris;Vestidor neteja;;;;;;;;;;;;;;;;;Adm. Sabadell;9,0;9;
S/255A;S;Espais cedits i concessionaris;Magatzem de neteja;;;;;;;;;;;;;;;;;Adm. Sabadell;2,0;2;
S3/-111;S;Espais cedits i concessionaris;Magatzem de neteja;;;;;;;;;;;;;;;;;Adm. Sabadell;4,0;4;
MAMPARA;S;Mampara (EM/42);OBRIR MAMPARA;;;;;;;;;;;;;;;;;Facultat d'Economia i Empresa;0,0;0;
S3/007;S;Mampara (EM/42);Aula 13;;;;;;;;;;;;;;;;;Adm. Sabadell;0,0;0;
Totals;;;;;;;732;0;2046;;;;;937287724;;;;;;;11523;11523;
