Ubicació;Edifici;Tipus de recurs;Descripció del recurs;Observacions;Accés per a minusvàlids;Aire condicionat;Capacitat exàmens;Capacitat;Capacitat docència;Connexió xarxa;Mobiliari;Pissarra;Porta secundària;Roseta xarxa núm.;Tarima;Telèfon núm.;Televisor;Vídeo;Característiques específiques;;Valor característiques específiques;;Centre gestor;Superfície Centre Gestor;Metres;
I2/007;I;Laboratoris RTV;Dalet 1;;Sí;No;25;;25;;Taula i cadires;;; ;;;;;Connexió xarxa;;Sí;;Fac. CC. de la Comunicació;46,0;46;
I2/007A;I;Laboratoris RTV;Cabina de so;;Sí;No;1;;1;;Taula i cadires;;; ;;;;;Connexió xarxa;;Sí;;Fac. CC. de la Comunicació;2,0;2;
I2/008;I;Laboratoris RTV;Control de continuÏtat 1;;Sí;No;4;;4;;Taules i cadires;;; ;;;;;Connexió xarxa;;Sí;;Fac. CC. de la Comunicació;7,0;7;
I2/009;I;Laboratoris RTV;Plató 0;;Sí;Sí;10;;10;;Cap;;; ;;;;;Connexió xarxa;;Sí;;Fac. CC. de la Comunicació;15,0;15;
I2/010;I;Laboratoris RTV;Control realització Ràdio 1;;Sí;No;20;;20;;Taula i cadires;;; ;;;;;Connexió xarxa;;Sí;;Fac. CC. de la Comunicació;33,0;33;
I2/011;I;Laboratoris RTV;Dalet 2;;Sí;No;25;;25;;Taula i cadires;;; ;;;;;Connexió xarxa;;Sí;;Fac. CC. de la Comunicació;40,0;40;
I2/011A;I;Laboratoris RTV;Cabina de so;;Sí;No;1;;1;;Taula i cadires;;; ;;;;;Connexió xarxa;;Sí;;Fac. CC. de la Comunicació;2,0;2;
I2/016;I;Laboratoris RTV;Estudi de ràdio 2;;No;No;27;;54;;Grades;;; ;;;;;;;;;Fac. CC. de la Comunicació;84,0;84;
I2/020;I;Laboratoris RTV;Estudi de ràdio 3;;No;No;24;;49;;Grades;;; ;;;;;;;;;Fac. CC. de la Comunicació;84,0;84;
I2/024;I;Laboratoris RTV;Estudi de continuÏtat 3;;Sí;No;4;;4;;Taules i cadires;;; ;;;;;Connexió xarxa;;Sí;;Fac. CC. de la Comunicació;10,0;10;
I2/026;I;Laboratoris RTV;Control de continuÏtat 3;;No;No;4;;4;;Taules i cadires;;; ;;;;;;;;;Fac. CC. de la Comunicació;7,0;7;
I2/028;I;Laboratoris RTV;Control realització Ràdio 3;;Sí;No;20;;20;;Taula i cadires;;; ;;;;;Connexió xarxa;;Sí;;Fac. CC. de la Comunicació;33,0;33;
I2/030;I;Laboratoris RTV;Control realització Ràdio 2;;Sí;No;20;;20;;Taula i cadires;;; ;;;;;Connexió xarxa;;Sí;;Fac. CC. de la Comunicació;33,0;33;
I2/032;I;Laboratoris RTV;Control de continuÏtat 2;;Sí;No;4;;4;;Taules i cadires;;; ;;;;;Connexió xarxa;;Sí;;Fac. CC. de la Comunicació;7,0;7;
I2/034;I;Laboratoris RTV;Estudi de continuÏtat 2;;Sí;No;4;;4;;Taules i cadires;;; ;;;;;Connexió xarxa;;Sí;;Fac. CC. de la Comunicació;10,0;10;
I2/042;I;Laboratoris RTV;Control realització TV1;;Sí;No;12;;12;;Taula i cadires;;; ;;;;;Connexió xarxa;;Sí;;Fac. CC. de la Comunicació;34,0;34;
I2/044;I;Laboratoris RTV;Plató TV1;;Sí;No;50;;100;;Grades;;; ;;;;;Connexió xarxa;;Sí;;Fac. CC. de la Comunicació;118,0;118;
I2/050;I;Laboratoris RTV;Plató TV2;;Sí;No;55;;111;;Grades;;; ;;;;;Connexió xarxa;;Sí;;Fac. CC. de la Comunicació;118,0;118;
I2/052;I;Laboratoris RTV;Control realització TV2;;Sí;No;12;;12;;Taula i cadires;;; ;;;;;Connexió xarxa;;Sí;;Fac. CC. de la Comunicació;34,0;34;
I2/054;I;Laboratoris RTV;Control realització TV3;;Sí;No;12;;12;;Taula i cadires;;; ;;;;;Connexió xarxa;;Sí;;Fac. CC. de la Comunicació;34,0;34;
I2/056;I;Laboratoris RTV;Plató TV3;;Sí;No;25;;50;;Varis;;; ;;;;;Connexió xarxa;;Sí;;Fac. CC. de la Comunicació;155,0;155;
I2/119;I;Laboratoris RTV;Redacció Integrada UAB Campus Media;;Sí;Sí;24;;24;;Taules i cadires;;; ;;;;;Connexió xarxa;;Sí;;Fac. CC. de la Comunicació;110,0;110;
I2/119.1;I;Laboratoris RTV;Estudi de Ràdio UAB Campus Media;;Sí;Sí;6;;6;;Altres;;; ;;;;;Connexió xarxa;;Sí;;Fac. CC. de la Comunicació;20,0;20;
I2/119.2;I;Laboratoris RTV;Sala de Control UAB Campus Media;;Sí;Sí;0;;0;;Altres;;; ;;;;;Connexió xarxa;;Sí;;Fac. CC. de la Comunicació;25,0;25;
I2/119.4;I;Laboratoris RTV;Plató de TV UAB Campus Media;;Sí;Sí;0;;0;;Altres;;; ;;;;;Connexió xarxa;;Sí;;Fac. CC. de la Comunicació;39,0;39;
I2/119.5;I;Laboratoris RTV;Camerino UAB Campus Media;;Sí;Sí;0;;0;;Altres;;; ;;;;;Connexió xarxa;;Sí;;Fac. CC. de la Comunicació;8,0;8;
I2/123B;I;Laboratoris RTV;Plató de UAB-Media;;Sí;No;30;;30;;Taules i cadires;;; ;;;;;Connexió xarxa;;Sí;;Fac. CC. de la Comunicació;40,0;40;
;;;;;;;;;;;;;;;;;;;DVD;;Sí;;;;;
I/0011;I;Despatx;Despatx d'Investigació;;;;;;;;;;;;;;;;;;;;Dept. Period. Ciènc. Comunic.;17,0;17;
I/0012;I;Despatx;Despatx de Professorat;;;;;;;;;;; ;;;;;;;;;Dep. Pub. RR.PP i Com. Audiov.;116,0;116;
I/0013;I;Despatx;Despatx de Professorat;;;;;;;;;;; ;;;;;;;;;Dept. Period. Ciènc. Comunic.;22,0;22;
I/0014;I;Despatx;Despatx de Professorat;;;;;;;;;;; ;;;;;;;;;Dep. Com. Audio. i Publicitat;107,0;107;
I/0015;I;Despatx;Despatx de Professorat;;;;;;;;;;; ;;;;;;;;;Dept. Period. Ciènc. Comunic.;22,0;22;
I/0016;I;Despatx;Despatx de Professorat;;;;;;;;;;; ;;;;;;;;;Fac. CC. de la Comunicació;17,0;17;
I/0017;I;Despatx;Despatx de Professorat;;;;;;;;;;; ;;;;;;;;;Dept. Period. Ciènc. Comunic.;16,0;16;
I/0018;I;Despatx;Despatx de Professorat;;;;;;;;;;; ;;;;;;;;;Dep. Pub. RR.PP i Com. Audiov.;12,0;12;
I/0019;I;Despatx;Despatx de Professorat;;;;;;;;;;; ;;;;;;;;;Dept. Period. Ciènc. Comunic.;23,0;23;
I/0021;I;Despatx;Despatx de Professorat;;;;;;;;;;; ;;;;;;;;;Dept. Period. Ciènc. Comunic.;16,0;16;
I/0022;I;Despatx;Despatx de Professorat;;;;;;;;;;; ;;;;;;;;;Fac. CC. de la Comunicació;27,0;27;
I/0023;I;Despatx;Despatx de Professorat;;;;;;;;;;; ;;;;;;;;;Dept. Period. Ciènc. Comunic.;16,0;16;
I/0024;I;Despatx;Despatx d'Investigació;;;;;;;;;;; ;;;;;;;;;Dep. Pub. RR.PP i Com. Audiov.;23,0;23;
I/0025;I;Despatx;Despatx de Professorat;;;;;;;;;;; ;;;;;;;;;Dept. Period. Ciènc. Comunic.;23,0;23;
I/0026;I;Despatx;Despatx d'Investigació;;;;;;;;;;; ;;;;;;;;;Dept. Period. Ciènc. Comunic.;23,0;23;
I/0035;I;Despatx;Despatx de Professorat;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;34,0;34;
I/0037;I;Despatx;Despatx d'Investigació;;;;;;;;;;;;;;;;;;;;Dep. Com. Audio. i Publicitat;23,0;23;
I/0039;I;Despatx;Despatx de Professorat;;;;;;;;;;;;;;;;;;;;Dep. Pub. RR.PP i Com. Audiov.;35,0;35;
I/0040;I;Despatx;Despatx de Professorat;;;;;;;;;;;;;;;;;;;;Dep. Pub. RR.PP i Com. Audiov.;59,0;59;
I/0042;I;Despatx;Despatx d'Investigació;;;;;;;;;;;;;;;;;;;;Dep. Pub. RR.PP i Com. Audiov.;35,0;35;
I/0043;I;Despatx;Despatx de Professorat;;;;;;;;;;;;;;;;;;;;Dept. Period. Ciènc. Comunic.;27,0;27;
I/0045;I;Despatx;Despatx de Professorat;;;;;;;;;;; ;;;;;;;;;Fac. CC. de la Comunicació;28,0;28;
I/0047;I;Despatx;Despatx d'Investigació;;;;;;;;;;; ;;;;;;;;;Dep. Pub. RR.PP i Com. Audiov.;27,0;27;
I/0049;I;Despatx;Despatx d'Investigació;;;;;;;;;;; ;;;;;;;;;Dept. Period. Ciènc. Comunic.;19,0;19;
I/0051;I;Despatx;Despatx Càtedra UNESCO;;;;;;;;;;; ;;;;;;;;;Adm. Ciències Comunicació;12,0;12;
I0/105;I;Despatx;Despatx de Professorat;;;;;;;;;;;;;;;;;;;;Dept. Period. Ciènc. Comunic.;26,0;26;
I0/106;I;Despatx;Despatx de Professorat;;;;;;;;;;;;;;;;;;;;Dep. Com. Audio. i Publicitat;26,0;26;
I0/107;I;Despatx;Despatx de Professorat;;;;;;;;;;;;;;;;;;;;Dept. Mitjans, Com. i Cult;25,0;25;
I0/108;I;Despatx;Despatx de Professorat;;;;;;;;;;;;;;;;;;;;Dep. Pub. RR.PP i Com. Audiov.;25,0;25;
I0/111;I;Despatx;Despatx de Professorat;;;;;;;;;;;;;;;;;;;;Dept. Mitjans, Com. i Cult;23,0;23;
I0/112;I;Despatx;Despatx de Professorat;;;;;;;;;;; ;;;;;;;;;Dep.Com.Audiov. i Pub.;23,0;23;
I0/113;I;Despatx;Despatx de Professorat;;;;;;;;;;;;;;;;;;;;Dept. Mitjans, Com. i Cult;22,0;22;
I0/114;I;Despatx;Despatx de Professorat;;;;;;;;;;; ;;;;;;;;;Dep. Pub. RR.PP i Com. Audiov.;23,0;23;
I0/115;I;Despatx;Despatx de Professorat;;;;;;;;;;;;;;;;;;;;Dept. Period. Ciènc. Comunic.;23,0;23;
I0/116;I;Despatx;Despatx de Professorat;;;;;;;;;;;;;;;;;;;;Dep. Com. Audio. i Publicitat;23,0;23;
I0/117;I;Despatx;Despatx de Professorat;;;;;;;;;;;;;;;;;;;;Dept. Period. Ciènc. Comunic.;23,0;23;
I0/118;I;Despatx;Despatx de Professorat;;;;;;;;;;;;;;;;;;;;Dep. Com. Audio. i Publicitat;23,0;23;
I0/121;I;Despatx;Despatx de Professorat;;;;;;;;;;;;;;;;;;;;Dept. Period. Ciènc. Comunic.;25,0;25;
I0/122;I;Despatx;Despatx de Professorat;;;;;;;;;;;;;;;;;;;;Dep. Com. Audio. i Publicitat;25,0;25;
I0/123;I;Despatx;Despatx de Professorat;;;;;;;;;;; ;;;;;;;;;Fac. CC. de la Comunicació;27,0;27;
I0/124;I;Despatx;Despatx de Professorat (Becaris);;;;;;;;;;;;;;;;;;;;Dep. Com. Audio. i Publicitat;27,0;27;
I0/212;I;Despatx;Despatx de Professorat;;;;;;;;;;; ;;;;;;;;;Dep. Pub. RR.PP i Com. Audiov.;24,0;24;
I0/214;I;Despatx;Despatx de Professorat;;;;;;;;;;;;;;;;;;;;Dep. Com. Audio. i Publicitat;23,0;23;
I0/216;I;Despatx;Despatx de Professorat;;;;;;;;;;; ;;;;;;;;;Dep. Com. Audio. i Publicitat;22,0;22;
I0/218;I;Despatx;Despatx de Professorat;;;;;;;;;;;;;;;;;;;;Dep. Com. Audio. i Publicitat;23,0;23;
I0/305;I;Despatx;Despatx de Professorat;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;26,0;26;
I0/306;I;Despatx;Despatx de Professorat;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;26,0;26;
I0/307;I;Despatx;Despatx de Professorat;;;;;;;;;;;;;;;;;;;;Dept. Period. Ciènc. Comunic.;24,0;24;
I0/308;I;Despatx;Despatx de Professorat;;;;;;;;;;; ;;;;;;;;;Dep. Com. Audio. i Publicitat;25,0;25;
I0/311;I;Despatx;Despatx de Professorat;;;;;;;;;;;;;;;;;;;;Dept. Mitjans, Com. i Cult;23,0;23;
I0/312;I;Despatx;Despatx de Professorat;;;;;;;;;;;;;;;;;;;;Dep. Com. Audio. i Publicitat;23,0;23;
I0/313;I;Despatx;Despatx de Professorat;;;;;;;;;;;;;;;;;;;;Dept. Mitjans, Com. i Cult;23,0;23;
I0/314;I;Despatx;Despatx d'Investigació;;;;;;;;;;;;;;;;;;;;Dep. Pub. RR.PP i Com. Audiov.;24,0;24;
I0/316;I;Despatx;Despatx de Professorat;;;;;;;;;;; ;;;;;;;;;Dep. Com. Audio. i Publicitat;3,0;3;
I0/317;I;Despatx;Despatx de Professorat;;;;;;;;;;;;;;;;;;;;Dept. Mitjans, Com. i Cult;24,0;24;
I0/318;I;Despatx;Despatx de Professorat;;;;;;;;;;;;;;;;;;;;Dep. Com. Audio. i Publicitat;24,0;24;
I0/319;I;Despatx;Despatx de Professorat;;;;;;;;;;;;;;;;;;;;Dept. Mitjans, Com. i Cult;26,0;26;
I0/322;I;Despatx;Despatx Professor;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;33,0;33;
I0/325B;I;Despatx;Despatx Administrador/a;;;;;;;;;;;;;;;;;;;;Adm. Ciències Comunicació;21,0;21;
I0/325C;I;Despatx;Despatx del gestor econòmic;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;14,0;14;
I0/329;I;Despatx;Despatx degà/degana;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;49,0;49;
I0/331;I;Despatx;Despatx vicedegans;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;27,0;27;
I0/333;I;Despatx;Despatx vicedegans;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;22,0;22;
I0/402;I;Despatx;Despatx de Professorat;;;;;;;;;;; ;;;;;;;;;Dep. Com. Audio. i Publicitat;19,0;19;
I0/403;I;Despatx;Despatx de Professorat;;;;;;;;;;;;;;;;;;;;Dept. Mitjans, Com. i Cult;12,0;12;
I0/404;I;Despatx;Despatx de Professorat;;;;;;;;;;;;;;;;;;;;Dep. Com. Audio. i Publicitat;12,0;12;
I0/407;I;Despatx;Despatx de Professorat;;;;;;;;;;;;;;;;;;;;Dept. Mitjans, Com. i Cult;23,0;23;
I0/408;I;Despatx;Despatx de Professorat;;;;;;;;;;; ;;;;;;;;;Dep. Com. Audio. i Publicitat;11,0;11;
I0/409;I;Despatx;Despatx de Professorat;;;;;;;;;;;;;;;;;;;;Dept. Mitjans, Com. i Cult;23,0;23;
I0/410;I;Despatx;Despatx de Professorat;;;;;;;;;;; ;;;;;;;;;Dep. Com. Audio. i Publicitat;23,0;23;
I0/411;I;Despatx;Despatx de Professorat;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;24,0;24;
I0/412;I;Despatx;Despatx de Professorat;;;;;;;;;;; ;;;;;;;;;Dep. Com. Audio. i Publicitat;13,0;13;
I0/414;I;Despatx;Despatx de Professorat;;;;;;;;;;; ;;;;;;;;;Fac. CC. de la Comunicació;13,0;13;
I0/415;I;Despatx;Despatx de Professorat;;;;;;;;;;;;;;;;;;;;Dept. Mitjans, Com. i Cult;12,0;12;
I0/416;I;Despatx;Despatx de Professorat;;;;;;;;;;; ;;;;;;;;;Dep. Com. Audio. i Publicitat;23,0;23;
I0/418;I;Despatx;Despatx de Professorat;;;;;;;;;;; ;;;;;;;;;Dep. Com. Audio. i Publicitat;11,0;11;
I0/422;I;Despatx;Despatx de Professorat;;;;;;;;;;; ;;;;;;;;;Dep. Com. Audio. i Publicitat;11,0;11;
I0/424;I;Despatx;Despatx de Professorat;;;;;;;;;;; ;;;;;;;;;Dep. Com. Audio. i Publicitat;19,0;19;
I1/028;I;Despatx;Despatx d'Investigació;;;;;;;;;;; ;;;;;;;;;Dep. Pub. RR.PP i Com. Audiov.;43,0;43;
I1/112;I;Despatx;Sala de control;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;80,0;80;
I1/119A;I;Despatx;Control d'Aula Informatitzada 2;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;13,0;13;
I2/014;I;Despatx;Despatx Professors-Laboratoris;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;29,0;29;
I2/103A;I;Despatx;Despatx d`investigació;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;11,0;11;
I2/103B;I;Despatx;Despatx d`investigació;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;12,0;12;
I2/103C;I;Despatx;Despatx d`investigació;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;15,0;15;
I2/103D;I;Despatx;Despatx d`investigació;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;11,0;11;
I2/103E;I;Despatx;Despatx d`investigació;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;11,0;11;
I2/107;I;Despatx;Despatx;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;24,0;24;
I2/107.1;I;Despatx;Despatx;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;17,0;17;
I2/109;I;Despatx;Despatx;;;;;;;;;;;;;;;;;;;;Adm. Ciències Comunicació;15,0;15;
I2/115;I;Despatx;Despatx;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;15,0;15;
I2/040;I;Laboratoris de recerca;Radiofònic workshop;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;32,0;32;
I2/040A;I;Laboratoris de recerca;Radiofónic Workshop;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;10,0;10;
I2/102;I;Laboratoris de recerca;Fotografia ampliadora;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;23,0;23;
I1/025A;I;Sala d'equips informàtics;Servidors PC 3;;;;;;;;;;; ;;;No;;;;;;Fac. CC. de la Comunicació;13,0;13;
I1/025B;I;Sala d'equips informàtics;Control PC 3;;;;;;;;;;; ;;;No;;;;;;Fac. CC. de la Comunicació;13,0;13;
I1/110A;I;Sala d'equips informàtics;Control d'Aula Informatitzada 4;;;;;;;;;;;;;;No;;;;;;Fac. CC. de la Comunicació;16,0;16;
I1/121A;I;Sala d'equips informàtics;Control d'Aula Informatitzada 1;;;;;;;;;;;;;;No;;;;;;Fac. CC. de la Comunicació;13,0;13;
I2/025C;I;Sala d'equips informàtics;nucli comunicacions-Servidors;;;;;;;;;;;;;;No;;;;;;Fac. CC. de la Comunicació;15,0;15;
I2/012;I;Taller o planta de producció;Taller laboratoris;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;33,0;33;
I0/311A;I;Sala d'estudis;Sala d'Estudis;;;;;;;;;;; ;;;;;;;;;Fac. CC. de la Comunicació;25,0;25;
I0/311B;I;Sala d'estudis;Sala d'Estudis;;;;;;;;;;; ;;;;;;;;;Fac. CC. de la Comunicació;29,0;29;
I0/207A;I;Arxiu;Arxiu /Revista Anàlisis;;;;;;;;;;;;;;;;;;;;Dept. Period. Ciènc. Comunic.;16,0;16;
I0/211;I;Arxiu;Arxiu;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;58,0;58;
I0/327;I;Arxiu;Despatx arxiu;;;;;;;;;;;;;;;;;;;;Adm. Ciències Comunicació;22,0;22;
I/0005;I;Ascensors;Espai ascensor;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;3,0;3;
I/0008;I;Ascensors;Espai ascensor;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;3,0;3;
I0/332;I;Ascensors;ascensor;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;4,0;4;
I0/102B;I;Espais administratius i serveis;Espai de connexió a la xarxa;;;;;;;;;;; ;;;;;;;;;Fac. CC. de la Comunicació;3,0;3;
I0/139;I;Espais administratius i serveis;Local d'Estudiants;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;16,0;16;
I0/205C;I;Espais administratius i serveis;Secretaria de Departament;;;;;;;;;;;;;;;;;;;;Dep. Com. Audio. i Publicitat;22,0;22;
I0/205E;I;Espais administratius i serveis;Direcció de Departament;;;;;;;;;;;;;;;;;;;;Dep. Com. Audio. i Publicitat;24,0;24;
I0/205F;I;Espais administratius i serveis;Despatx de vicedirectors;;;;;;;;;;;;;;;;;;;;Dep. Com. Audio. i Publicitat;10,0;10;
I0/205G;I;Espais administratius i serveis;Despatx de vicedirectors;;;;;;;;;;;;;;;;;;;;Dep. Com. Audio. i Publicitat;10,0;10;
I0/206;I;Espais administratius i serveis;Secretaria de Departament;;;;;;;;;;;;;;;;;;;;Dept. Mitjans, Com. i Cult;27,0;27;
I0/207C;I;Espais administratius i serveis;Direcció de Departament;;;;;;;;;;;;;;;;;;;;Dept. Period. Ciènc. Comunic.;22,0;22;
I0/207E;I;Espais administratius i serveis;Secretaria de Departament;;;;;;;;;;;;;;;;;;;;Dept. Period. Ciènc. Comunic.;23,0;23;
I0/208;I;Espais administratius i serveis;Direcció de Departament;;;;;;;;;;;;;;;;;;;;Dept. Mitjans, Com. i Cult;25,0;25;
I0/209;I;Espais administratius i serveis;Gestió Acadèmica;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;103,0;103;
I0/209A;I;Espais administratius i serveis;Despatx Cap de la Gestió Acadèmica;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;16,0;16;
I0/222;I;Espais administratius i serveis;Direcció de Departament;;;;;;;;;;;;;;;;;;;;Dep. Pub. RR.PP i Com. Audiov.;25,0;25;
I0/224;I;Espais administratius i serveis;Secretaria de Departament;;;;;;;;;;;;;;;;;;;;Dep. Pub. RR.PP i Com. Audiov.;27,0;27;
I0/228;I;Espais administratius i serveis;Suport Logístic i Punt d'Informació;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;17,0;17;
I0/228A;I;Espais administratius i serveis;Suport Logístic i Punt d'Informació;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;30,0;30;
I0/230A;I;Espais administratius i serveis;Despatx Cap del Suport Logístic i Punt d'Informació;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;18,0;18;
I0/234;I;Espais administratius i serveis;Despatx de Tècnics;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;27,0;27;
I0/323;I;Espais administratius i serveis;Despatx del Degà;;;;;;;;;;; ;;;;;;;;;Fac. CC. de la Comunicació;49,0;49;
I0/325;I;Espais administratius i serveis;Deganat/Administració;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;81,0;81;
I0/335;I;Espais administratius i serveis;Despatx Vice Degans;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;22,0;22;
I1/012B;I;Espais administratius i serveis;Sala de control de l'Aula Magna;;;;;6;;;;;; ;;;;;;;;;Adm. Ciències Comunicació;15,0;15;
I2/025B;I;Espais administratius i serveis;Despatx Informàtica;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;15,0;15;
I2/027;I;Espais administratius i serveis;Despatx informàtica;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;15,0;15;
I2/029;I;Espais administratius i serveis;Despatx;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;13,0;13;
I2/036;I;Espais administratius i serveis;Sala eng. Despatx tècnics;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;85,0;85;
I2/038;I;Espais administratius i serveis;Despatx cap Laboratoris;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;24,0;24;
I2/108;I;Espais administratius i serveis;Despatx d'Investigació;;;;;2;;;;;; ;;;;;;;;;Fac. CC. de la Comunicació;15,0;15;
I2/110;I;Espais administratius i serveis;Fotografia despatx;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;8,0;8;
I2/116;I;Espais administratius i serveis;Fotografia despatx del cap;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;16,0;16;
I/PATIP;I;Espais exteriors;Pati interior parell;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;31,0;31;
I/PATIS;I;Espais exteriors;Pati interior senar;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;31,0;31;
I/0033;I;Espais exteriors;Pati Exterior;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;32,0;32;
I/0038;I;Espais exteriors;Pati;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;68,0;68;
I/0007;I;Lavabos;Lavabo de minusvàlids;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;8,0;8;
I/0009;I;Lavabos;Lavabos mixtes;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;13,0;13;
I/0010;I;Lavabos;Lavabos mixtes de professorat;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;9,0;9;
I0/101;I;Lavabos;Lavabos d`homes ;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;5,0;5;
I0/102;I;Lavabos;Lavabos de dones;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;9,0;9;
I0/138;I;Lavabos;Lavabos de dones;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;16,0;16;
I0/140;I;Lavabos;Lavabos d`homes;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;16,0;16;
I0/142;I;Lavabos;Lavabos de Minusvàlids;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;16,0;16;
I0/201;I;Lavabos;Lavabos d`homes;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;9,0;9;
I0/202;I;Lavabos;Lavabos de dones;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;9,0;9;
I0/301;I;Lavabos;Lavabos d`homes;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;9,0;9;
I0/302;I;Lavabos;Lavabos de dones;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;9,0;9;
I0/330A;I;Lavabos;Lavabo homes;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;4,0;4;
I0/330B;I;Lavabos;Lavabo dones;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;5,0;5;
I0/330C;I;Lavabos;lavabos minusvàlids;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;3,0;3;
I1/009;I;Lavabos;Lavabos de dones;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;17,0;17;
I1/019;I;Lavabos;Lavabos d`homes;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;16,0;16;
I1/102;I;Lavabos;Lavabos de dones;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;26,0;26;
I1/106;I;Lavabos;Lavabos d`homes;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;21,0;21;
I2/013;I;Lavabos;Lavabos de dones;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;29,0;29;
I2/019;I;Lavabos;Lavabos d`homes;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;29,0;29;
I2/105;I;Lavabos;Lavabos de dones ;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;14,0;14;
I2/111;I;Lavabos;Lavabos d`homes ;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;14,0;14;
I2/113;I;Lavabos;Lavabos d`homes;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;14,0;14;
I/0036;I;Magatzem;Compactus;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;337,0;337;
