Ubicació;Edifici;Tipus de recurs;Descripció del recurs;Observacions;Accés per a minusvàlids;Aire condicionat;Capacitat exàmens;Capacitat;Capacitat docència;Connexió xarxa;Mobiliari;Pissarra;Porta secundària;Roseta xarxa núm.;Tarima;Telèfon núm.;Televisor;Vídeo;Característiques específiques;;Valor característiques específiques;;Centre gestor;Superfície Centre Gestor;Metres;
;;;;;;;;;;;;;;;;;;;Connexió xarxa sense fil;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Instal·lació informàtica;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Megafonia;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Micròfon de corbata;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Minidisc;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Monitor d'ordinador;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Ordinador;;amb DVD - USB;;;;;
;;;;;;;;;;;;;;;;;;;Pantalla carril;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Pissarra;;blanca -pantalla;;;;;
;;;;;;;;;;;;;;;;;;;Reproductor CD/casette;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Taules per a minusvàlids;;1;;;;;
;;;;;;;;;;;;;;;;;;;Vídeo;; ;;;;;
I1/011;I;Aules docents;Aula 6;;Sí;;38;;77;Sí;Bancs pupitres;;;IA/123 a IA/138;;;;;Aire condicionat;;Sí;;Fac. CC. de la Comunicació;88,0;88;
;;;;;;;;;;;;;;;;;;;Canó projecció fix;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Connexió xarxa sense fil;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Instal·lació informàtica;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Monitor d'ordinador;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Ordinador;;amb DVD - USB;;;;;
;;;;;;;;;;;;;;;;;;;Pantalla carril;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Pissarra;;verda -pantalla;;;;;
;;;;;;;;;;;;;;;;;;;Taules per a minusvàlids;;1;;;;;
;;;;;;;;;;;;;;;;;;;Vídeo;; ;;;;;
I1/015;I;Aules docents;Aula 5;;Sí;;37;;75;Sí;Bancs pupitres;;;IA/143 a IA/154;;;;;Aire condicionat;;Sí;;Fac. CC. de la Comunicació;88,0;88;
;;;;;;;;;;;;;;;;;;;Canó projecció fix;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Connexió xarxa sense fil;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Instal·lació informàtica;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Monitor d'ordinador;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Ordinador;;amb DVD - USB;;;;;
;;;;;;;;;;;;;;;;;;;Pantalla carril;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Pissarra;;verda -pantalla;;;;;
;;;;;;;;;;;;;;;;;;;Vídeo;;VHS;;;;;
I1/103;I;Aules docents;Aula 4;;Sí;;44;;88;Sí;Bancs pupitres;;;IA/001 IA/002;;;;;Canó projecció fix;;Sí;;Fac. CC. de la Comunicació;88,0;88;
;;;;;;;;;;;;;;;;;;;Connexió xarxa sense fil;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Instal·lació informàtica;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Monitor d'ordinador;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Ordinador;;amb DVD - USB;;;;;
;;;;;;;;;;;;;;;;;;;Pantalla fixa;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Pissarra;;verda -pantalla;;;;;
;;;;;;;;;;;;;;;;;;;Retroprojector;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Tarima;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Vídeo;;VHS;;;;;
I1/107;I;Aules docents;Aula 3;;Sí;;44;;88;Sí;Bancs pupitres;;;IA-003 i IA-004;;;;;Canó projecció fix;;Sí;;Fac. CC. de la Comunicació;88,0;88;
;;;;;;;;;;;;;;;;;;;Connexió xarxa sense fil;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Instal·lació informàtica;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Monitor d'ordinador;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Ordinador;;amb DVD - USB;;;;;
;;;;;;;;;;;;;;;;;;;Pantalla carril;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Pissarra;;verda -pantalla;;;;;
;;;;;;;;;;;;;;;;;;;Tarima;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Taules per a minusvàlids;;1;;;;;
;;;;;;;;;;;;;;;;;;;Vídeo;;VHS i BETA;;;;;
I1/109;I;Aules docents;Aula 2;;Sí;;40;;81;Sí;Bancs pupitres;;;IA-005 i IA-006;;;;;Canó projecció fix;;Sí;;Fac. CC. de la Comunicació;88,0;88;
;;;;;;;;;;;;;;;;;;;Connexió xarxa sense fil;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Instal·lació informàtica;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Monitor d'ordinador;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Ordinador;;amb DVD - USB;;;;;
;;;;;;;;;;;;;;;;;;;Pantalla fixa;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Pissarra;;verda -pantalla;;;;;
;;;;;;;;;;;;;;;;;;;Retroprojector;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Tarima;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Vídeo;;VHS;;;;;
I1/113;I;Aules docents;Aula 1;;Sí;;41;;83;Sí;Bancs pupitres;;;IA-007 IA-008;;;;;Canó projecció fix;;Sí;;Fac. CC. de la Comunicació;88,0;88;
;;;;;;;;;;;;;;;;;;;Connexió xarxa sense fil;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Instal·lació informàtica;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Monitor d'ordinador;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Ordinador;;amb DVD - USB;;;;;
;;;;;;;;;;;;;;;;;;;Pantalla carril;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Pissarra;;verda -pantalla;;;;;
;;;;;;;;;;;;;;;;;;;Tarima;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Vídeo;;VHS;;;;;
I2/106;I;Aules docents;Aula 10;;Sí;;15;;30;Sí;Cadires pala;;;I2-122 i I2-123;;;;;Aire condicionat;;Sí;;Fac. CC. de la Comunicació;36,0;36;
;;;;;;;;;;;;;;;;;;;Canó projecció fix;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Connexió xarxa sense fil;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Instal·lació informàtica;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Monitor d'ordinador;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Ordinador;;amb DVD - USB;;;;;
;;;;;;;;;;;;;;;;;;;Pantalla fixa;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Pissarra;;blanca -pantalla;;;;;
;;;;;;;;;;;;;;;;;;;Vídeo;; ;;;;;
I2/117;I;Aules docents;Aula 11;;Sí;;15;;30;No;Cadires pala;;; ;;;;;Canó projecció fix;;Sí;;Fac. CC. de la Comunicació;43,0;43;
;;;;;;;;;;;;;;;;;;;Ordinador;; ;;;;;
;;;;;;;;;;;;;;;;;;;Pissarra;;blanca -pantalla;;;;;
;;;;;;;;;;;;;;;;;;;Vídeo;; ;;;;;
I2/120;I;Aules docents;Aula 9;;Sí;;50;;100;Sí;Butaques amb pala;;; ;;;;;Canó projecció fix;;Sí;;Fac. CC. de la Comunicació;115,0;115;
;;;;;;;;;;;;;;;;;;;Instal·lació informàtica;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Ordinador;;amb DVD - USB;;;;;
;;;;;;;;;;;;;;;;;;;Pantalla carril;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Pissarra;;verda -pantalla;;;;;
;;;;;;;;;;;;;;;;;;;Vídeo;; ;;;;;
I1/002;I;Seminaris;Seminari 5;;No;No;12;;25;;Taules i cadires;;; ;;;;;Ordinador;; ;;Fac. CC. de la Comunicació;43,0;43;
;;;;;;;;;;;;;;;;;;;Pissarra;; ;;;;;
;;;;;;;;;;;;;;;;;;;Vídeo;; ;;;;;
I1/004;I;Seminaris;Seminari 4;;Sí;No;12;;25;;Taules i cadires;;;IA/ 115 IA/116;;;;;Canó projecció fix;;Sí;;Fac. CC. de la Comunicació;43,0;43;
;;;;;;;;;;;;;;;;;;;Connexió xarxa;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;DVD;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Ordinador;;amb DVD - USB;;;;;
;;;;;;;;;;;;;;;;;;;Pantalla fixa;;Sí;;;;;
;;;;;;;;;;;;;;;;;;;Pissarra;;blanca -pantalla;;;;;
;;;;;;;;;;;;;;;;;;;Vídeo;;VHS;;;;;
I1/006;I;Seminaris;Seminari 3;;Sí;No;12;;25;;Taules i cadires;;;IA/115 i IA/116;;;;;Canó projecció fix;;Sí;;Fac. CC. de la Comunicació;43,0;43;
;;;;;;;;;;;;;;;;;;;Connexió xarxa;;Sí;;;;;
